symbol,786-0,A498,A549/ATCC,ACHN,BT-549,CAKI-1,CCRF-CEM,COLO 205,DU-145,EKVX,HCC-2998,HCT-116,HCT-15,HOP-62,HOP-92,HS 578T,HT29,IGROV1,K-562,KM12,LOX IMVI,M14,MCF7,MDA-MB-231/ATCC,MDA-MB-468,MOLT-4,NCI-H226,NCI-H23,NCI-H322M,NCI-H460,NCI-H522,OVCAR-3,OVCAR-4,OVCAR-5,OVCAR-8,PC-3,RPMI-8226,RXF 393,SF-268,SF-295,SF-539,SK-MEL-2,SK-MEL-28,SK-MEL-5,SK-OV-3,SN12C,SNB-75,SR,SW-620,T-47D,TK-10,U251,UACC-257,UACC-62,UO-31
ABCD3,1,-1,-1,0,1,-1,0,-1,-1,1,0,0,0,-1,1,1,0,0,0,0,0,1,-1,1,1,0,0,0,0,-1,1,0,2,0,2,1,-1,2,1,0,1,1,0,-1,1,-1,1,0,0,-1,1,1,1,-1,0
ABCD4,0,-1,0,-1,-1,-1,0,0,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,-1,1,0,-1,0,-1,0,1,1,-1,1,0,1,-1,1,-1,1,0,-1,0,0,-1,-1,0,-1,0,0,0,1,-1,0,-1,0,-1
ABCE1,-1,0,-1,0,-1,0,0,0,1,1,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,0,-1,1,-1,0,0,0,0,0,-1,0,1,1,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,0,0,-1,-1,0,-1,-1,0
ABCF1,0,-1,-1,-1,1,-1,0,0,0,-1,0,-1,0,0,-1,1,-1,-1,1,-1,1,0,0,1,1,1,-1,0,-1,-1,1,1,1,0,1,0,1,-1,1,0,1,0,-1,-1,0,1,0,1,0,0,-1,-1,-1,-1,-1
ABCF2,1,1,0,1,0,1,0,0,0,0,1,0,2,0,2,1,1,1,1,1,-1,1,1,1,0,1,0,1,-1,1,1,0,2,0,1,1,1,1,1,1,1,1,-1,1,-1,0,1,1,1,-1,1,1,0,1,1
ABCF3,0,-1,-1,0,0,1,0,1,1,-1,0,0,0,-1,1,1,0,-1,0,0,0,1,0,0,-1,0,0,1,1,-1,1,1,0,1,-1,0,1,-1,-1,0,1,1,1,1,0,-1,1,0,-1,2,0,1,-1,1,1
ABCG1,0,0,-1,-1,-1,-1,0,-1,1,-1,0,-1,0,0,-1,0,-1,-1,1,-1,1,1,1,0,1,0,-1,-1,-1,-1,1,1,1,0,-1,0,1,-1,-1,1,-1,-1,0,-1,0,-1,1,0,-1,0,-1,-1,-1,-1,1
ABCG2,-1,-1,-1,0,-1,0,0,0,-1,1,0,0,0,0,-1,-1,0,-1,0,0,-1,-1,0,0,-1,1,-1,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,-1,0,0,-1,-1,0,-1,-1,0
ABCG4,0,-1,-1,0,-1,-1,0,-1,-1,-1,1,-1,0,-1,-1,0,1,0,0,0,1,0,-1,1,1,0,0,-1,1,-1,1,-1,1,1,-1,0,-1,-1,2,0,-1,-1,-1,-1,-1,0,-1,0,1,1,-2,-1,-1,-1,1
ABCG5,0,1,1,1,-1,0,0,0,0,-1,0,0,0,1,0,1,0,0,0,0,1,0,0,-1,1,0,0,1,1,1,1,0,1,1,-1,0,0,0,1,0,-1,0,1,1,0,1,-1,0,0,-1,1,0,1,1,-1
ABCG8,0,1,1,1,-1,0,0,0,0,-1,0,0,0,1,0,1,0,0,0,0,1,0,0,-1,1,0,0,1,1,1,1,0,1,1,-1,0,0,0,1,0,-1,0,1,1,0,1,-1,0,0,-1,1,0,1,1,-1
ABHD1,0,1,1,1,-1,0,0,0,0,-1,0,0,0,1,0,1,0,0,0,0,1,0,-1,-1,1,0,0,1,1,1,1,0,0,1,-1,0,0,1,1,0,1,0,1,1,0,1,-1,0,0,-1,1,0,-1,1,-1
ABHD2,0,0,1,0,-1,0,0,1,0,1,0,-1,0,0,-1,-1,1,0,0,0,0,2,1,-1,-1,0,1,0,1,1,-1,-1,-1,1,-1,-1,1,0,0,0,1,-1,2,0,0,-1,-1,0,0,-1,1,1,1,0,-1
ABHD3,0,-1,-1,0,0,-1,0,-1,1,0,0,0,0,-1,0,1,-1,-1,0,2,0,0,0,0,-1,-1,0,-1,0,0,0,-1,-1,1,-1,0,1,0,-1,0,-1,0,-1,-1,0,-1,-1,0,0,-1,-1,0,-1,-1,-1
ABHD4,0,-1,0,0,-1,-1,0,0,-1,-1,0,0,0,0,1,-1,-1,0,-1,0,0,-1,-1,0,-1,0,0,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,0,-1
ABHD5,0,-1,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,1,-1,-1,1,0,0,0,-1,0,-1,0,0,-1,-1,-1,0,0,-1,0,1,1,0,-1,1,0,0,1,0,1,-1,1,0,0,0,1,-1,0,-1,-1,1
ABHD6,0,-1,-1,0,0,-1,0,-1,-1,-1,0,0,0,0,0,1,-1,-1,-1,0,0,0,-1,0,-1,0,0,-1,-1,0,0,-1,0,0,1,1,0,-1,-1,0,-1,1,0,1,-1,0,0,0,0,-1,-1,0,-2,-1,1
ABHD8,-1,0,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,0,-1,0,0,-1,-1,-1,-1,0,1,0,-1,-1,-1,-1,-1,-1,1,0,-1,1,0,1,0,1,1,-1,1,-1,0,-1,0,0,-1,-1,-1,-1,-1,0,-1
ABHD10,0,0,0,0,0,1,0,1,-1,-1,0,1,0,0,0,1,1,-1,-1,0,0,1,0,-1,0,0,0,1,-1,0,0,1,1,0,1,1,0,-1,-1,0,1,1,1,1,0,-1,1,0,0,1,-1,0,0,1,1
ABHD11,1,1,0,1,-1,0,0,0,0,1,1,0,2,-1,1,1,1,1,1,0,0,1,0,0,-1,0,-1,1,-1,1,1,-1,-1,0,-1,1,1,1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,-1,0,1,1
ABHD11-AS1,1,1,0,1,-1,0,0,0,0,1,1,0,2,-1,1,1,1,1,1,0,0,1,0,0,-1,0,-1,1,-1,1,1,-1,-1,0,-1,1,1,1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,1,-1,0,1,1
ABHD12,0,1,1,0,1,-1,1,1,-1,0,0,0,0,1,1,1,1,1,-1,0,1,1,1,0,1,1,0,1,1,1,-1,1,-1,1,1,0,0,1,1,0,1,-1,1,1,0,-1,1,0,1,0,1,-1,1,1,1
ABHD12B,0,-1,0,0,-1,-1,0,0,2,0,0,0,0,0,0,-1,-1,0,-1,0,0,-1,1,1,-1,0,0,0,1,1,0,1,0,1,1,1,-1,-1,0,-1,0,0,-1,-1,0,0,0,0,0,1,-1,0,-1,0,-1
ABHD13,-1,0,-1,0,1,1,0,2,-1,0,1,1,0,-1,-1,-1,0,-1,-1,0,1,-1,1,-1,1,0,0,-1,0,0,-1,0,1,1,1,-1,-1,0,0,0,1,-1,-1,1,-1,-1,1,0,1,-1,1,-1,2,-1,0
ABHD14A,0,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,0,-1,0,1,-1,-1,-1,0,0,0,-2,0,-1,0,0,-1,-1,-1,-1,-1,0,0,1,0,0,-1,-1,0,-1,1,-1,1,-1,1,0,0,-1,-1,-1,-1,-1,-1,1
ABHD14A-ACY1,0,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,0,-1,0,1,-1,-1,-1,0,0,0,-2,0,-1,0,0,-1,-1,-1,-1,-1,0,0,1,0,0,-1,-1,0,-1,1,-1,1,-1,1,0,0,-1,-1,-1,-1,-1,-1,1
ABHD14B,0,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,0,-1,0,1,-1,-1,-1,0,0,0,-2,0,-1,0,0,-1,-1,-1,-1,-1,0,0,1,0,0,-1,-1,0,-1,1,-1,1,-1,1,0,0,-1,-1,-1,-1,-1,-1,1
ABHD15,0,1,1,1,-1,0,0,1,0,-1,0,0,0,1,0,-1,0,0,0,0,1,0,-1,0,-1,1,0,0,1,1,-1,1,-1,0,-1,-1,0,-1,1,1,0,-1,0,0,0,-1,-1,0,0,1,-1,1,0,0,-1
ABHD16A,0,-1,-1,-1,1,-1,0,-1,0,-2,0,-2,0,0,-1,1,-1,-1,1,-1,1,0,-1,1,1,1,-1,0,-1,-1,1,-1,1,0,1,0,1,-1,1,0,1,0,-1,-1,0,1,0,1,0,0,-1,-1,-1,-1,-2
ABHD16B,0,0,-1,0,1,1,1,1,-1,1,0,-1,0,-1,1,1,1,1,0,1,1,1,-1,1,-1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,-1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
