dl_cell,Accession,Identifier,Synonym,rna_cell,cnv_cell
NCIH1650,CVCL_1483,NCI-H1650,"['H1650', 'H-1650', 'H1650_CO', 'NCIH1650']",NCI-H1650,NCI-H1650
NCIH2122,CVCL_1531,NCI-H2122,"['H2122', 'H-2122', 'NCIH2122']",NCI-H2122,NCI-H2122
NCIH23,CVCL_1547,NCI-H23,"['NCI.H23', 'NCI H23', 'H-23', 'H23', 'NCIH23']",NCI-H23,NCI-H23
NCIH520,CVCL_1566,NCI-H520,"['H520', 'H-520', 'NCI-HUT-520', 'NCIH520']",NCI-H520,NCI-H520
OCUBM,CVCL_1621,OCUB-M,"['OCUBM', 'OCUB-1M', 'OCUB-1 Monolayered']",OCUB-M,OCUB-M
OV90,CVCL_3768,OV-90,['OV90'],OV-90,OV-90
OVCAR-4,CVCL_1627,OVCAR-4,"['OVCAR 4', 'NIH:OVCAR-4', 'NIH:OVCAR4', 'OVCAR.4', 'OVCAR4', 'Ovcar4']",OVCAR-4,OVCAR-4
OVCAR-5,CVCL_1628,OVCAR-5,"['OVCAR 5', 'NIH:OVCAR-5', 'OVCAR.5', 'OVCAR5', 'Ovcar5', 'OVCA5']",OVCAR-5,OVCAR-5
OVCAR-8,CVCL_1629,OVCAR-8,"['OVCAR 8', 'NIH:OVCAR-8', 'OVCAR8', 'Ovcar8', 'OVCAR.8', 'OVCA8']",OVCAR-8,OVCAR-8
OVCAR3,CVCL_0465,OVCAR-3,"['Ovcar-3', 'OVCAR 3', 'OVCAR.3', 'NIH:OVCAR-3', 'NIH:Ovcar-3', 'NIH:OVCAR3', 'NIH-OVCAR-3', 'NIHOVCAR3', 'OVCAR3', 'Ovcar3']",OVCAR-3,OVCAR-3
PA1,CVCL_0479,PA-1,"['PA1', 'PA I', 'PAI']",PA-1,PA-1
PC-3,CVCL_0035,PC-3,"['PC3', 'PC.3', 'PC-3', 'PC3', 'JPC-3', 'PC3JPC3']",PC-3,PC-3
RD,CVCL_1649,RD,"['R D', 'RD-2', 'RD 2', '130T', '130-T', '130 T', 'TE-32', 'TE 32', 'TE32', 'TE 32.T', 'Te 32.T']",RD,RD
RKO,CVCL_0504,RKO,[],RKO,RKO
RPMI-8226,CVCL_0014,RPMI-8226,"['RPMI 8226', 'RPMI.8226', 'RPMI8226', 'RPMI no. 8226', 'RPMI no 8226', 'RPMI #8226', '8226', 'RPMI 8226/S', 'RPMI-8226S', 'RPMI8226/S', '8226/S', 'Roswell Park Memorial Institute 8226', 'GM02132', 'GM2132', 'GM 2132', 'GM02132C', 'Simpson']",RPMI-8226,RPMI-8226
RPMI7951,CVCL_1666,RPMI-7951,"['RPMI 7951', 'RPMI7951', 'Roswell Park Memorial Institute 7951']",RPMI-7951,RPMI-7951
RT-112,CVCL_1670,RT-112,"['RT 112', 'RT112']",RT-112,RT-112
RT-4,CVCL_0036,RT-4,"['RT4', 'RT4P']",RT4,RT4
RVH-421,CVCL_1672,RVH-421,"['RVH 421', 'RVH421']",RVH-421,RVH-421
RXF 393,CVCL_1673,RXF 393L,"['RXF393L', 'RXF-393 L', 'RXF-393', 'RXF 393', 'RXF.393', 'RXF393', 'RXF 393NL']",RXF393,RXF393
SF-268,CVCL_1689,SF268,"['SF-268', 'SF.268', 'SF 268']",SF268,SF268
SF-295,CVCL_1690,SF295,"['SF-295', 'SF.295', 'SF 295']",SF295,SF295
SF-539,CVCL_1691,SF539,"['SF-539', 'SF-539 BT', 'SF.539', 'SF 539']",SF539,SF539
SK-MEL-2,CVCL_0069,SK-MEL-2,"['SK-Mel-2', 'SK-Mel 2', 'SK-mel-2', 'SK-MEL2', 'SK.MEL.2', 'SK Mel 2', 'SK MEL 2', 'SKMEL-2', 'SKMEL2', 'SKmel2', 'SK-ML2', 'SKml2']",SK-MEL-2,SK-MEL-2
SK-MEL-28,CVCL_0526,SK-MEL-28,"['SK-Mel-28', 'SK.MEL.28', 'SK-MEL 28', 'SK MEL-28', 'SK MEL 28', 'SK Mel 28', 'SKMel-28', 'SKMEL-28', 'SK-MEL28', 'SK-Mel28', 'SK Mel28', 'SKMEL28', 'SKMel28', 'SKmel28', 'SKML-28', 'SK28', 'AU-Mel', 'P-36', 'P36']",SK-MEL-28,SK-MEL-28
SK-MEL-5,CVCL_0527,SK-MEL-5,"['SK-Mel-5', 'SK MEL 5', 'SK.MEL.5', 'SK-MEL5', 'SKMel-5', 'SKMEL-5', 'SKMEL5', 'SKMel5', 'SKmel5', 'AA-Mel']",SK-MEL-5,SK-MEL-5
SK-OV-3,CVCL_0532,SK-OV-3,"['SKOV-3', 'SK-OV3', 'SK.OV.3', 'SKOV3', 'Skov3', 'SKO3']",SK-OV-3,SK-OV-3
SKMEL30,CVCL_0039,SK-MEL-30,"['SK-Mel-30', 'SK Mel 30', 'SKMEL-30', 'Sk Mel30', 'AW-Mel', 'SKMEL30']",SK-MEL-30,SK-MEL-30
SKMES1,CVCL_0630,SK-MES-1,"['SK MES 1', 'SKMES-1', 'SK-Mes-1', 'SK-MES1', 'SKMES1', 'SK-MES', 'SKMES']",SK-MES-1,SK-MES-1
SN12C,CVCL_1705,SN12C,['SN-12C'],SN12C,SN12C
SNB-75,CVCL_1706,SNB-75,"['SNB.75', 'SNB75', 'Surgical Neurology Branch-75']",SNB75,SNB75
SNU-16,CVCL_0076,SNU-16,"['SNU16', 'NCI-SNU-16']",SNU-16,SNU-16
SR,CVCL_1711,SR,"['SR-786', 'SR786']",SR,SR
SW-620,CVCL_0547,SW620,"['SW-620', 'SW 620', 'SW.620']",SW620,SW620
SW48,CVCL_1724,SW48,"['SW-48', 'SW 48']",SW48,SW48
SW780,CVCL_1728,SW780,"['SW-780', 'SW 780']",SW780,SW780
SW837,CVCL_1729,SW837,"['SW-837', 'SW 837']",SW837,SW837
SW900,CVCL_1731,SW900,"['SW-900', 'SW 900']",SW900,SW900
SW948,CVCL_0632,SW948,"['SW-948', 'SW 948']",SW948,SW948
T-47D,CVCL_0553,T-47D,"['T-47-D', 'T47-D', 'T47D:A', 'T47D']",T47D,T47D
T24,CVCL_0554,T24,"['T-24', 'T 24']",T24,T24
T98G,CVCL_0556,T98G,"['T 98 G', 'T-98G', 'T98 G', 'T98-G']",T98G,T98G
TC-71,CVCL_2213,TC-71,"['TC71', 'GM11654']",TC-71,TC-71
TCCSUP,CVCL_1738,TCCSUP,"['TCCSuP', 'TCC-SUP', 'TCC Sup']",TCCSUP,TCCSUP
TK-10,CVCL_1773,TK-10,"['TK.10', 'TK 10', 'TK10']",TK10,TK10
U251,CVCL_0021,U-251MG,"['U-251 MG', 'U-251-MG', 'U-251_MG', 'U251-MG', 'U251MG', 'U-251', 'U251', 'U251n', 'U251N', '251 MG', '251MG']",U251,U251
UACC-257,CVCL_1779,UACC-257,"['UACC 257', 'UACC.257', 'UACC257', 'University of Arizona Cell Culture-257']",UACC-257,UACC-257
UACC-812,CVCL_1781,UACC-812,"['UACC 812', 'UACC812', 'University of Arizona Cell Culture-812']",UACC-812,UACC-812
UACC62,CVCL_1780,UACC-62,"['UACC 62', 'UACC.62', 'UACC62', 'University of Arizona Cell Culture-62']",UACC-62,UACC-62
UM-UC-3,CVCL_1783,UM-UC-3,"['UMUC-3', 'UM-UC3', 'UMUC3', 'UC-3', 'University of Michigan-Urothelial Carcinoma-3']",UM-UC-3,UM-UC-3
UO-31,CVCL_1911,UO-31,"['UO.31', 'UO31', 'U031']",U031,U031
UWB1289,CVCL_B079,UWB1.289,"['UWB1-289', 'UWB1289']",UWB1.289,UWB1.289
VCAP,CVCL_2235,VCaP,"['VCAP', 'Vcap', 'Vertebral Cancer of the Prostate']",VCaP,VCaP
VM-CUB-1,CVCL_1786,VM-CUB-1,"['VM-CUB1', 'VMCUB-1', 'VMCUB1', 'VMCub1', 'VM Cub 1', 'VM-CUB-I']",VM-CUB-1,VM-CUB-1
WM115,CVCL_0040,WM115,"['WM-115', 'WM 115', 'WM115F', 'WM115-mel', 'WM115mel', 'WC00079']",WM-115,WM-115
WT2-iPS,CVCL_ZA06,WT2-iPS,"['CRL1502-iPS clone 32', 'C32', 'hiPSC-CRL1502 clone C32', 'iPS cell line CRL1502 (clone C32)']",C32,C32
