Drug,drug_num
CYC116,2103
CYCLOBENZAPRINE,2104
CYPROHEPTADINE,2105
DABRAFENIB,2106
DAPOXETINE,2107
DASATINIB,2108
DEXAMETHASONE,2109
DIENESTROL,2110
DIENOGEST,2111
DIETHYLSTILBESTROL,2112
DIGOXIN,2113
DIMETHYL FUMARATE,2114
DIPHENHYDRAMINE,2115
DIPYRIDAMOLE,2116
DOBUTAMINE,2117
DOCETAXEL,2118
DOFETILIDE,2119
DOMPERIDONE,2120
DOPAMINE,2121
DOXAZOSIN,2122
DRONEDARONE,2123
DROSPIRENONE,2124
DYPHYLLINE,2125
ELLAGIC ACID,2126
ELTROMBOPAG,2127
EMODIN,2128
EMRICASAN,2129
ENZASTAURIN,2130
EPINEPHRINE,2131
ERLOTINIB,2132
ERTEBEREL,2133
ESTRADIOL,2134
ESTRAMUSTINE,2135
ESTRIOL,2136
ESTRONE,2137
ETODOLAC,2138
ETOMIDATE,2139
EVEROLIMUS,2140
FAMOTIDINE,2141
FASUDIL,2142
FELBAMATE,2143
FENOFIBRATE,2144
FENOLDOPAM,2145
FESOTERODINE,2146
FINGOLIMOD,2147
FLUNARIZINE,2148
FLUOCINONIDE,2149
FLUPHENAZINE,2150
FLUPIRTINE,2151
FLURBIPROFEN,2152
FLUTICASONE PROPIONATE,2153
FLUVASTATIN,2154
FOMEPIZOLE,2155
FORETINIB,2156
FOSTAMATINIB,2157
FULVESTRANT,2158
GABAPENTIN,2159
GABEXATE,2160
GALLAMINE TRIETHIODIDE,2161
GEFITINIB,2162
GELDANAMYCIN,2163
GEMFIBROZIL,2164
GENISTEIN,2165
GLICLAZIDE,2166
GLIPIZIDE,2167
GLYCYRRHIZIC ACID,2168
GOSSYPOL,2169
GW501516,2170
HALOPERIDOL,2171
HEXESTROL,2172
HISTAMINE,2173
HYDROCHLOROTHIAZIDE,2174
HYDROXYCHLOROQUINE,2175
IBUPROFEN,2176
ILOPERIDONE,2177
IMATINIB,2178
IMEXON,2179
INDOMETHACIN,2180
INGENOL MEBUTATE,2181
ISOTRETINOIN,2182
ISRADIPINE,2183
IVACAFTOR,2184
KETANSERIN,2185
KETOPROFEN,2186
KETOROLAC,2187
KETOTIFEN,2188
KX01,2189
LAMOTRIGINE,2190
LANSOPRAZOLE,2191
LAPATINIB,2192
LEFLUNOMIDE,2193
LENALIDOMIDE,2194
LENVATINIB,2195
LESTAURTINIB,2196
LEVODOPA,2197
LEVONORGESTREL,2198
LEVOSIMENDAN,2199
LICOFELONE,2200
LINSITINIB,2201
LONAFARNIB,2202
LONIDAMINE,2203
LOPERAMIDE,2204
LORATADINE,2205
LORNOXICAM,2206
LOVASTATIN,2207
LUMACAFTOR,2208
LY2140023,2209
LY294002,2210
MACITENTAN,2211
MANIDIPINE,2212
MAPROTILINE,2213
MARAVIROC,2214
MECLIZINE,2215
MEDROXYPROGESTERONE ACETATE,2216
MEFLOQUINE,2217
MEGESTROL ACETATE,2218
MELATONIN,2219
MELOXICAM,2220
MEMANTINE,2221
MENADIONE,2222
MESTRANOL,2223
METFORMIN,2224
METHYLDOPA,2225
METHYLENE BLUE,2226
METHYLTESTOSTERONE,2227
MIANSERIN,2228
MICONAZOLE,2229
MIDOSTAURIN,2230
MIFEPRISTONE,2231
MILRINONE,2232
MINOCYCLINE,2233
MIRTAZAPINE,2234
MITOTANE,2235
MK0354,2236
MOCETINOSTAT,2237
MOXONIDINE,2238
MYRICETIN,2239
NAFAMOSTAT,2240
NALTREXONE,2241
NAPROXEN,2242
NARATRIPTAN,2243
NARINGENIN,2244
NATEGLINIDE,2245
NEPAFENAC,2246
NERATINIB,2247
NIACIN,2248
NIFLUMIC ACID,2249
NIGULDIPINE,2250
NILOTINIB,2251
NIMESULIDE,2252
NINTEDANIB,2253
NOREPINEPHRINE,2254
NPS2143,2255
OBATOCLAX,2256
OCTOCRYLENE,2257
OCTREOTIDE,2258
OLANZAPINE,2259
OLMESARTAN,2260
ONDANSETRON,2261
ORLISTAT,2262
ORPHENADRINE,2263
OSANETANT,2264
OSI930,2265
OXYBUTYNIN,2266
OXYMETAZOLINE,2267
PACLITAXEL,2268
PALBOCICLIB,2269
PANOBINOSTAT,2270
PAPAVERINE,2271
PAROXETINE,2272
PAZOPANIB,2273
PD0325901,2274
PELITINIB,2275
PENTAGASTRIN,2276
PERHEXILINE,2277
PERIFOSINE,2278
PERINDOPRIL,2279
PH797804,2280
PHENFORMIN,2281
PHENOXYBENZAMINE,2282
PHENTOLAMINE,2283
PHENYLEPHRINE,2284
PIBOSEROD,2285
PIMECROLIMUS,2286
PIOGLITAZONE,2287
PIROXICAM,2288
PIZOTIFEN,2289
PLERIXAFOR,2290
PLINABULIN,2291
POMALIDOMIDE,2292
PONATINIB,2293
PRACINOSTAT,2294
PRAMIPEXOLE,2295
PRANLUKAST,2296
PRAVASTATIN,2297
PRAZOSIN,2298
PRIMIDONE,2299
PROCATEROL,2300
PROGESTERONE,2301
PROPAFENONE,2302
PRUCALOPRIDE,2303
PURVALANOL A,2304
QUERCETIN,2305
QUINIDINE,2306
QUIZARTINIB,2307
RALOXIFENE,2308
RAMIPRIL,2309
REGORAFENIB,2310
REPAGLINIDE,2311
RESERPINE,2312
RESVERATROL,2313
RHEIN,2314
RIDAFOROLIMUS,2315
RIFABUTIN,2316
RILMENIDINE,2317
RIMONABANT,2318
RISPERIDONE,2319
RIZATRIPTAN,2320
ROFECOXIB,2321
ROFLUMILAST,2322
ROLIPRAM,2323
ROLOFYLLINE,2324
ROMIDEPSIN,2325
ROSIGLITAZONE,2326
ROXADUSTAT,2327
RUXOLITINIB,2328
SALBUTAMOL,2329
SCOPOLAMINE,2330
SELICICLIB,2331
SERATRODAST,2332
SILODOSIN,2333
SIMVASTATIN,2334
SIROLIMUS,2335
SNS032,2336
SNX5422,2337
SONIDEGIB,2338
SORAFENIB,2339
SOTALOL,2340
SPERMIDINE,2341
STREPTOZOCIN,2342
SULFASALAZINE,2343
SULINDAC,2344
SULPIRIDE,2345
SUMANIROLE,2346
SUMATRIPTAN,2347
SUNITINIB,2348
SURAMIN,2349
SYNEPHRINE,2350
TALMAPIMOD,2351
TAMIBAROTENE,2352
TAMOXIFEN,2353
TANDUTINIB,2354
TANESPIMYCIN,2355
TAURINE,2356
TAZAROTENE,2357
TELMISARTAN,2358
TEMSIROLIMUS,2359
TENOXICAM,2360
TERAZOSIN,2361
TESMILIFENE,2362
TESTOSTERONE,2363
TESTOSTERONE CYPIONATE,2364
TETRABENAZINE,2365
TG100115,2366
THALIDOMIDE,2367
THEOBROMINE,2368
THEOPHYLLINE,2369
TIVANTINIB,2370
TIZANIDINE,2371
TOFACITINIB,2372
TOLVAPTAN,2373
TRAMETINIB,2374
TRAVOPROST,2375
TRAZODONE,2376
TRETINOIN,2377
TRICHLORMETHIAZIDE,2378
TRIFLUOPERAZINE,2379
TRILOSTANE,2380
TROGLITAZONE,2381
VANDETANIB,2382
VARLITINIB,2383
VATALANIB,2384
VEMURAFENIB,2385
VERAPAMIL,2386
VINBLASTINE,2387
VISMODEGIB,2388
VORAPAXAR,2389
VX702,2390
VX765,2391
WORTMANNIN,2392
XIMELAGATRAN,2393
XL765,2394
XYLOMETAZOLINE,2395
YOHIMBINE,2396
ZIPRASIDONE,2397
ZOLMITRIPTAN,2398
