Drug,Target
NOREPINEPHRINE,ADRB3
MIRTAZAPINE,HTR2A
MIRTAZAPINE,ADRA2A
MIRTAZAPINE,HRH1
MIRTAZAPINE,ADRA2C
MIRTAZAPINE,HTR7
MIRTAZAPINE,ADRA1A
MIRTAZAPINE,ADRA1B
MIRTAZAPINE,ADRA1D
MIRTAZAPINE,DRD2
MIRTAZAPINE,HTR2B
MIRTAZAPINE,DRD1
MIRTAZAPINE,DRD5
MIRTAZAPINE,ADRA1A
MIRTAZAPINE,ADRB1
MIRTAZAPINE,ADRB2
PHENYLEPHRINE,ADRA1A
PHENYLEPHRINE,ADRA1B
PHENYLEPHRINE,ADRA1D
DIGOXIN,ATP1A1
SULPIRIDE,DRD2
PROGESTERONE,PGR
PROGESTERONE,ESR1
PROGESTERONE,CYP17A1
SORAFENIB,BRAF
SORAFENIB,RAF1
SORAFENIB,FLT4
SORAFENIB,KDR
SORAFENIB,FLT3
SORAFENIB,PDGFRB
SORAFENIB,KIT
SORAFENIB,FGFR1
SORAFENIB,RET
SORAFENIB,FLT1
ROSIGLITAZONE,PPARG
ROSIGLITAZONE,PPARA
ROSIGLITAZONE,PPARD
ROSIGLITAZONE,RXRA
ROSIGLITAZONE,RXRB
ROSIGLITAZONE,RXRG
PRAMIPEXOLE,DRD2
PRAMIPEXOLE,ADRA2B
PRAMIPEXOLE,HTR1A
PRAMIPEXOLE,HTR1D
PRAMIPEXOLE,ADRA2A
PRAMIPEXOLE,HTR1B
PRAMIPEXOLE,HTR2A
PRAMIPEXOLE,HTR2B
PRAMIPEXOLE,ADRA2C
PRAMIPEXOLE,DRD1
PRAMIPEXOLE,DRD5
STREPTOZOCIN,SLC2A2
CYPROHEPTADINE,HRH1
CYPROHEPTADINE,HTR2A
CYPROHEPTADINE,CHRM1
CYPROHEPTADINE,CHRM2
CYPROHEPTADINE,CHRM3
CYPROHEPTADINE,HTR7
LANSOPRAZOLE,MAPT
LORATADINE,HRH1
PRAZOSIN,ADRA1A
PRAZOSIN,ADRA1B
PRAZOSIN,ADRA1D
PRAZOSIN,ADRA2A
PRAZOSIN,ADRA2B
ACITRETIN,RXRA
ACITRETIN,RARA
ACITRETIN,RXRB
ACITRETIN,RXRG
KETOROLAC,PTGS2
TENOXICAM,PTGS2
LENALIDOMIDE,TNFSF11
LENALIDOMIDE,PTGS2
RALOXIFENE,ESR1
RALOXIFENE,ESR2
RALOXIFENE,TFF1
CELECOXIB,PTGS2
CELECOXIB,PDPK1
GALLAMINE TRIETHIODIDE,CHRM2
GALLAMINE TRIETHIODIDE,CHRM1
GALLAMINE TRIETHIODIDE,CHRM5
SOTALOL,ADRB1
SOTALOL,ADRB2
HALOPERIDOL,DRD2
HALOPERIDOL,DRD1
HALOPERIDOL,GRIN2B
HALOPERIDOL,HTR2A
AMINOCAPROIC ACID,PLAT
CISPLATIN,TF
ERLOTINIB,EGFR
ROFECOXIB,PTGS2
AMOXAPINE,DRD2
AMOXAPINE,DRD1
AMOXAPINE,ADRA2A
AMOXAPINE,ADRA1A
AMOXAPINE,CHRM1
AMOXAPINE,HTR2A
AMOXAPINE,HTR6
AMOXAPINE,HTR7
AMOXAPINE,HRH1
AMOXAPINE,ADRA1A
AMOXAPINE,ADRA1B
AMOXAPINE,ADRA1D
AMOXAPINE,CHRM1
AMOXAPINE,CHRM2
AMOXAPINE,CHRM3
AMOXAPINE,CHRM5
AMOXAPINE,HTR2B
AMOXAPINE,HTR1A
AMOXAPINE,HTR1B
AMOXAPINE,ADRA2A
AMOXAPINE,ADRA2B
AMOXAPINE,ADRA2C
PIROXICAM,PTGS2
LAMOTRIGINE,ADORA1
LAMOTRIGINE,ADORA2A
LAMOTRIGINE,ADRA1A
LAMOTRIGINE,ADRA2A
LAMOTRIGINE,ADRB1
LAMOTRIGINE,DRD1
LAMOTRIGINE,DRD5
LAMOTRIGINE,DRD2
LAMOTRIGINE,HRH1
LAMOTRIGINE,CHRM1
LAMOTRIGINE,CHRM2
LAMOTRIGINE,CHRM3
LAMOTRIGINE,CHRM5
LAMOTRIGINE,HTR2A
VINBLASTINE,JUN
ATROPINE,CHRM1
ATROPINE,CHRM2
ATROPINE,CHRM3
ATROPINE,CHRM5
CLONIDINE,ADRA2A
CLONIDINE,ADRA2B
CLONIDINE,ADRA2C
CLONIDINE,ADRA1A
CLONIDINE,ADRA1B
CLONIDINE,ADRA1D
FLUTICASONE PROPIONATE,PGR
FLUTICASONE PROPIONATE,PLA2G4A
DOXAZOSIN,ADRA1A
DOXAZOSIN,ADRA1B
DOXAZOSIN,ADRA1D
AMILORIDE,SLC9A1
AMILORIDE,PLAU
MEDROXYPROGESTERONE ACETATE,PGR
MEDROXYPROGESTERONE ACETATE,ESR1
SULINDAC,PTGS2
SULINDAC,MAPK3
SULINDAC,PPARD
CHLOROQUINE,TNF
CHLOROQUINE,TLR9
BISOPROLOL,ADRB1
BISOPROLOL,ADRB2
RIFABUTIN,HSP90AA1
RIFABUTIN,HSP90B1
IMATINIB,KIT
IMATINIB,NTRK1
IMATINIB,CSF1R
IMATINIB,PDGFRA
IMATINIB,ABL1
IMATINIB,PDGFRB
FLUPHENAZINE,DRD2
FLUPHENAZINE,DRD1
FLUPHENAZINE,CALM1
FLUPHENAZINE,CALM2
FLUPHENAZINE,CALM3
FLUPHENAZINE,HTR2A
TESTOSTERONE,ESR1
NIACIN,HCAR3
NIACIN,HCAR2
CLOFIBRATE,PPARA
ADENOSINE,ADORA2A
ADENOSINE,ADORA2B
ADENOSINE,ADORA3
ADENOSINE,ADORA1
SIMVASTATIN,HMGCR
SIMVASTATIN,ITGB2
SIMVASTATIN,ITGAL
MITOTANE,ESR1
MITOTANE,PGR
DYPHYLLINE,PDE4B
DYPHYLLINE,PDE4A
DYPHYLLINE,PDE4C
DYPHYLLINE,PDE4D
DYPHYLLINE,ADORA1
DYPHYLLINE,ADORA2A
ESTRONE,ESR1
ESTRONE,ESR2
TRAZODONE,HTR2A
TRAZODONE,HTR1A
TRAZODONE,HRH1
TRAZODONE,ADRA1A
TRAZODONE,ADRA2A
VERAPAMIL,CACNA1C
VERAPAMIL,CACNA1D
VERAPAMIL,CACNA1S
VERAPAMIL,CACNB1
VERAPAMIL,CACNB2
VERAPAMIL,CACNB3
VERAPAMIL,CACNB4
VERAPAMIL,ADRA1A
VERAPAMIL,ADRA1B
VERAPAMIL,ADRA1D
EPINEPHRINE,ADRA1A
EPINEPHRINE,ADRA1B
EPINEPHRINE,ADRB1
EPINEPHRINE,ADRB2
EPINEPHRINE,ADRA2A
EPINEPHRINE,ADRA2B
EPINEPHRINE,ADRA1D
EPINEPHRINE,ADRA2C
EPINEPHRINE,ADRB3
EPINEPHRINE,TNF
SUMATRIPTAN,HTR1D
SUMATRIPTAN,HTR1B
SUMATRIPTAN,HTR1F
SUMATRIPTAN,HTR1A
APREPITANT,TACR1
TAMOXIFEN,ESR1
TAMOXIFEN,ESR2
TAMOXIFEN,PRKCA
TAMOXIFEN,PRKCB
TAMOXIFEN,PRKCD
TAMOXIFEN,PRKCE
TAMOXIFEN,PRKCG
TAMOXIFEN,PRKCI
TAMOXIFEN,PRKCQ
TAMOXIFEN,PRKCZ
PHENTOLAMINE,ADRA2A
PHENTOLAMINE,ADRA1A
PHENTOLAMINE,ADRA1B
PHENTOLAMINE,ADRA1D
TIZANIDINE,ADRA2A
TIZANIDINE,ADRA2B
TIZANIDINE,ADRA2C
NALTREXONE,OPRD1
NALTREXONE,OPRM1
FLURBIPROFEN,PTGS2
PAROXETINE,HTR2A
PAROXETINE,CHRM1
PAROXETINE,CHRM2
PAROXETINE,CHRM3
PAROXETINE,CHRM5
NATEGLINIDE,PPARG
RISPERIDONE,HTR2A
RISPERIDONE,DRD2
RISPERIDONE,ADRA1A
RISPERIDONE,ADRA1B
RISPERIDONE,HTR1D
RISPERIDONE,HRH1
RISPERIDONE,ADRA2A
RISPERIDONE,ADRA2B
RISPERIDONE,ADRA2C
RISPERIDONE,HTR1A
RISPERIDONE,DRD1
RISPERIDONE,HTR7
MECLIZINE,HRH1
SCOPOLAMINE,CHRM1
SCOPOLAMINE,CHRM2
SCOPOLAMINE,CHRM3
SCOPOLAMINE,CHRM5
ETODOLAC,PTGS2
ETODOLAC,RXRA
TRETINOIN,RXRB
TRETINOIN,RXRG
TRETINOIN,RARA
TRETINOIN,RXRA
ALPROSTADIL,PTGER2
ALPROSTADIL,PTGER1
ESTRADIOL,ESR1
ESTRADIOL,ESR2
ESTRADIOL,NCOA2
ESTRADIOL,GPER1
ESTRADIOL,BECN1
NAPROXEN,PTGS2
PERINDOPRIL,SFRP4
PRIMIDONE,GRIA2
SULFASALAZINE,PTGS2
SULFASALAZINE,PPARG
SULFASALAZINE,CHUK
SULFASALAZINE,IKBKB
SULFASALAZINE,PLA2G1B
TAZAROTENE,RARA
TAZAROTENE,RXRB
FENOLDOPAM,DRD5
FENOLDOPAM,DRD1
FENOLDOPAM,ADRA2B
FENOLDOPAM,ADRA2C
FENOLDOPAM,ADRA2A
FENOLDOPAM,ADRA1B
FENOLDOPAM,ADRA1D
FENOLDOPAM,ADRA1A
BIPERIDEN,CHRM1
MELOXICAM,PTGS2
TRIFLUOPERAZINE,DRD2
TRIFLUOPERAZINE,ADRA1A
TRIFLUOPERAZINE,CALM1
TRIFLUOPERAZINE,CALM2
TRIFLUOPERAZINE,CALM3
MIFEPRISTONE,PGR
LOPERAMIDE,OPRM1
LOPERAMIDE,OPRD1
LOPERAMIDE,POMC
LOPERAMIDE,CALM1
LOPERAMIDE,CALM2
LOPERAMIDE,CALM3
DOBUTAMINE,ADRB1
DOBUTAMINE,ADRB2
DOBUTAMINE,ADRA1A
DOBUTAMINE,ADRA1B
DOBUTAMINE,ADRA1D
DOBUTAMINE,ESR1
CONIVAPTAN,AVPR1A
SIROLIMUS,MTOR
SIROLIMUS,FGF2
BUMETANIDE,CFTR
DIENESTROL,ESR1
ONDANSETRON,HTR4
ONDANSETRON,OPRM1
ONDANSETRON,HTR1A
ONDANSETRON,HTR1B
BIMATOPROST,PTGFR
BIMATOPROST,PTGER1
BIMATOPROST,PTGER3
QUINIDINE,ADRA1A
QUINIDINE,ADRA1B
QUINIDINE,ADRA1D
REPAGLINIDE,PPARG
PHENFORMIN,PRKAA1
PHENFORMIN,KCNJ8
AMANTADINE,GRIN3A
AMANTADINE,DRD2
ALMOTRIPTAN,HTR1B
ALMOTRIPTAN,HTR1D
KETOTIFEN,HRH1
LEVOSIMENDAN,KCNJ8
LEVOSIMENDAN,PDE3A
CYCLOBENZAPRINE,HTR2A
PHENOXYBENZAMINE,ADRA1A
PHENOXYBENZAMINE,ADRA2A
PHENOXYBENZAMINE,ADRA2C
PHENOXYBENZAMINE,ADRA2B
PHENOXYBENZAMINE,CALM1
PHENOXYBENZAMINE,CALM2
PHENOXYBENZAMINE,CALM3
PHENOXYBENZAMINE,ADRB2
PHENOXYBENZAMINE,ADRA1B
PHENOXYBENZAMINE,ADRA1D
FAMOTIDINE,HRH2
MAPROTILINE,HRH1
MAPROTILINE,CHRM1
MAPROTILINE,CHRM2
MAPROTILINE,CHRM3
MAPROTILINE,CHRM5
MAPROTILINE,ADRA1A
MAPROTILINE,ADRA1B
MAPROTILINE,ADRA1D
MAPROTILINE,HTR2A
MAPROTILINE,HTR7
MAPROTILINE,DRD2
MAPROTILINE,ADRA2A
MAPROTILINE,ADRA2B
MAPROTILINE,ADRA2C
OXYMETAZOLINE,ADRA1A
OXYMETAZOLINE,ADRA2A
OXYMETAZOLINE,ADRA2C
OXYMETAZOLINE,ADRA2B
OXYMETAZOLINE,ADRA1B
OXYMETAZOLINE,ADRA1D
FULVESTRANT,ESR1
FELBAMATE,GRIN2B
FELBAMATE,GRIN3A
FELBAMATE,GRIN2A
NARATRIPTAN,HTR1D
NARATRIPTAN,HTR1B
NARATRIPTAN,HTR1F
NARATRIPTAN,HTR1A
RIZATRIPTAN,HTR1D
RIZATRIPTAN,HTR1B
RIZATRIPTAN,HTR1F
TELMISARTAN,AGTR1
TELMISARTAN,PPARG
METHYLDOPA,ADRA2A
AZELASTINE,HRH1
DIPYRIDAMOLE,PDE10A
DIPYRIDAMOLE,PDE4A
DIPYRIDAMOLE,RCAN1
ISOTRETINOIN,RARA
DOPAMINE,DRD2
DOPAMINE,DRD1
DOPAMINE,DRD5
DOPAMINE,HTR1A
DOPAMINE,HTR7
DOPAMINE,DRD1
DOPAMINE,DRD5
AZATHIOPRINE,RAC1
AURANOFIN,IKBKB
GABAPENTIN,CACNA2D1
GABAPENTIN,CACNA2D2
GABAPENTIN,ADORA1
GABAPENTIN,GRIN1
GABAPENTIN,GRIN2A
GABAPENTIN,GRIN2B
GABAPENTIN,GRIN2C
GABAPENTIN,GRIN2D
GABAPENTIN,GRIN3A
GABAPENTIN,GRIN3B
GABAPENTIN,GABBR1
GABAPENTIN,GABBR2
HYDROCHLOROTHIAZIDE,KCNMA1
SALBUTAMOL,ADRB2
SALBUTAMOL,ADRB1
SALBUTAMOL,ADRB3
KETOPROFEN,PTGS2
KETOPROFEN,CXCR1
CINACALCET,CASR
BALSALAZIDE,PPARG
BALSALAZIDE,PTGS2
MINOCYCLINE,IL1B
MINOCYCLINE,MMP9
MINOCYCLINE,VEGFA
MINOCYCLINE,CASP1
MINOCYCLINE,CASP3
MINOCYCLINE,CYCS
BETHANECHOL,CHRM2
BETHANECHOL,CHRM1
BETHANECHOL,CHRM3
TRICHLORMETHIAZIDE,ATP1A1
AMLEXANOX,IL3
AMLEXANOX,FGF1
CERULENIN,FASN
FENOFIBRATE,PPARA
FENOFIBRATE,PPARG
FENOFIBRATE,PPARD
THALIDOMIDE,TNF
THALIDOMIDE,NFKB1
THALIDOMIDE,FGFR2
THALIDOMIDE,PTGS2
MEMANTINE,GRIN3A
MEMANTINE,GRIN2A
MEMANTINE,GRIN2B
MEMANTINE,DRD2
MEMANTINE,GRIN1
FLUOCINONIDE,SMO
IBUPROFEN,PTGS2
IBUPROFEN,BCL2
IBUPROFEN,THBD
IBUPROFEN,PLAT
IBUPROFEN,PPARG
IBUPROFEN,CFTR
IBUPROFEN,PPARA
OXYBUTYNIN,CHRM3
OXYBUTYNIN,CHRM2
OXYBUTYNIN,CHRM1
MELATONIN,ESR1
MELATONIN,CALM1
MELATONIN,CALM2
MELATONIN,CALM3
GLIPIZIDE,PPARG
PERHEXILINE,CPT1A
PERHEXILINE,CPT2
DIPHENHYDRAMINE,HRH1
DIPHENHYDRAMINE,CHRM2
ORLISTAT,FASN
FLUVASTATIN,HMGCR
LEFLUNOMIDE,PTK2B
TRILOSTANE,ESR1
TRILOSTANE,ESR2
MICONAZOLE,NOS3
MICONAZOLE,NOS2
MICONAZOLE,KCNMA1
MICONAZOLE,KCNMB1
MICONAZOLE,KCNMB2
MICONAZOLE,KCNMB3
MICONAZOLE,KCNMB4
PAPAVERINE,PDE4B
PAPAVERINE,PDE10A
AMIODARONE,ADRB1
AMIODARONE,CACNA2D2
AMIODARONE,THRA
AMIODARONE,THRB
AMIODARONE,PPARG
GLICLAZIDE,VEGFA
PIOGLITAZONE,PPARG
PIOGLITAZONE,PPARD
PIOGLITAZONE,PPARA
CARVEDILOL,ADRB1
CARVEDILOL,ADRA1A
CARVEDILOL,ADRB2
CARVEDILOL,VEGFA
CARVEDILOL,NPPB
CARVEDILOL,VCAM1
CARVEDILOL,ADRA1D
CARVEDILOL,ADRA1B
CARVEDILOL,ADRA2C
CARVEDILOL,ADRA2B
CARVEDILOL,ADRA2A
CARVEDILOL,SELE
CARVEDILOL,HIF1A
CARVEDILOL,KCNJ4
TERAZOSIN,ADRA1A
TERAZOSIN,ADRA1B
TERAZOSIN,ADRA1D
CILOSTAZOL,PDE3A
ARSENIC TRIOXIDE,IKBKB
ARSENIC TRIOXIDE,JUN
ARSENIC TRIOXIDE,CCND1
ARSENIC TRIOXIDE,MAPK3
ARSENIC TRIOXIDE,MAPK1
ARSENIC TRIOXIDE,AKT1
ARSENIC TRIOXIDE,CDKN1A
ARSENIC TRIOXIDE,HDAC1
ORPHENADRINE,GRIN2D
ORPHENADRINE,GRIN1
ORPHENADRINE,GRIN3B
ORPHENADRINE,GRIN3A
ORPHENADRINE,HRH1
PROPAFENONE,ADRB1
PROPAFENONE,ADRB2
DOMPERIDONE,DRD2
CICLOPIROX,ATP1A1
ESTRAMUSTINE,ESR1
ESTRAMUSTINE,ESR2
FOMEPIZOLE,CAT
PACLITAXEL,BCL2
PACLITAXEL,MAPT
DEXAMETHASONE,NOS2
LEVODOPA,DRD1
LEVODOPA,DRD5
LEVODOPA,DRD2
ARIPIPRAZOLE,HTR2A
ARIPIPRAZOLE,DRD2
ARIPIPRAZOLE,HTR1A
ARIPIPRAZOLE,HTR1B
ARIPIPRAZOLE,HTR1D
ARIPIPRAZOLE,HTR1E
ARIPIPRAZOLE,HTR6
ARIPIPRAZOLE,HTR7
ARIPIPRAZOLE,DRD1
ARIPIPRAZOLE,DRD5
ARIPIPRAZOLE,HRH1
ARIPIPRAZOLE,ADRA1A
ARIPIPRAZOLE,ADRA1B
ARIPIPRAZOLE,ADRA2A
ARIPIPRAZOLE,ADRA2B
ARIPIPRAZOLE,ADRA2C
ARIPIPRAZOLE,CHRM1
ARIPIPRAZOLE,CHRM2
ARIPIPRAZOLE,CHRM3
ARIPIPRAZOLE,CHRM5
GEMFIBROZIL,PPARA
CLOMIPRAMINE,HTR2A
CLOMIPRAMINE,HTR2B
DOCETAXEL,BCL2
DOCETAXEL,MAPT
DASATINIB,ABL1
DASATINIB,SRC
DASATINIB,EPHA2
DASATINIB,LCK
DASATINIB,KIT
DASATINIB,PDGFRB
DASATINIB,STAT5B
DASATINIB,ABL2
DASATINIB,FYN
DASATINIB,FGR
DASATINIB,HSPA8
DASATINIB,LYN
DASATINIB,MAP3K20
DASATINIB,MAPK14
LAPATINIB,EGFR
LAPATINIB,ERBB2
SUNITINIB,PDGFRB
SUNITINIB,FLT1
SUNITINIB,KIT
SUNITINIB,KDR
SUNITINIB,FLT4
SUNITINIB,FLT3
SUNITINIB,CSF1R
SUNITINIB,PDGFRA
MESTRANOL,ESR1
PROCATEROL,ADRB2
YOHIMBINE,ADRA2A
YOHIMBINE,ADRA2B
YOHIMBINE,ADRA2C
YOHIMBINE,HTR1A
YOHIMBINE,HTR1B
YOHIMBINE,HTR1D
YOHIMBINE,DRD2
YOHIMBINE,HTR2A
YOHIMBINE,KCNJ12
YOHIMBINE,KCNJ14
YOHIMBINE,KCNJ8
YOHIMBINE,HTR2B
DROSPIRENONE,PGR
PRANLUKAST,TNF
PRANLUKAST,IL5
PRANLUKAST,NFKB1
THEOBROMINE,ADORA1
THEOBROMINE,ADORA2A
THEOBROMINE,PDE4B
EVEROLIMUS,MTOR
HYDROXYCHLOROQUINE,TLR9
GENISTEIN,ESR2
GENISTEIN,PTK2B
GENISTEIN,NCOA1
GENISTEIN,ESR1
GENISTEIN,NCOA2
GENISTEIN,ESRRB
GENISTEIN,AKT1
GENISTEIN,GPER1
ROFLUMILAST,PDE4D
ROFLUMILAST,PDE4A
ROFLUMILAST,PDE4B
ROFLUMILAST,PDE4C
7HYDROXYSTAUROSPORINE,PDPK1
ROLIPRAM,PDE4D
ROLIPRAM,PDE4B
TAURINE,GRIN2B
TAURINE,GABBR1
2METHOXYESTRADIOL,HIF1A
MYRICETIN,PIK3CG
MYRICETIN,JAK1
GELDANAMYCIN,HSP90AB1
GELDANAMYCIN,HSP90AA1
GELDANAMYCIN,HSP90B1
LY294002,PIM1
LY294002,PIK3CG
RESVERATROL,CSNK2A1
RESVERATROL,PTGS2
RESVERATROL,ITGA5
RESVERATROL,ITGB3
RESVERATROL,ESR1
RESVERATROL,SLC2A1
RESVERATROL,PPARA
RESVERATROL,PPARG
RESVERATROL,AKT1
NARINGENIN,ESR1
NARINGENIN,ESR2
SPERMIDINE,ADRB1
SPERMIDINE,ADRB2
CILOMILAST,PDE4D
CILOMILAST,PDE4B
BERBERINE,BIRC5
QUERCETIN,HCK
QUERCETIN,PIK3CG
QUERCETIN,PIM1
QUERCETIN,ESR1
QUERCETIN,ESR2
QUERCETIN,ACTB
QUERCETIN,CSNK2A1
QUERCETIN,CSNK2B
QUERCETIN,HSP90AA1
QUERCETIN,HSPA2
QUERCETIN,CEBPB
ARECOLINE,CHRM1
ARECOLINE,CHRM3
NIFLUMIC ACID,PLA2G1B
NIFLUMIC ACID,PTGS2
NIFLUMIC ACID,PLA2G4A
ESTRIOL,ESR1
ESTRIOL,ESR2
ANIRACETAM,HTR2A
ANIRACETAM,DRD2
ANIRACETAM,GRIA2
LICOFELONE,PLA2G2E
LICOFELONE,PTGS2
NIMESULIDE,PTGS2
NIMESULIDE,PLA2G2E
PURVALANOL A,SRC
PURVALANOL A,CSNK1G3
PURVALANOL A,RPS6KA1
SURAMIN,FSHR
SURAMIN,RYR1
SURAMIN,F2
SURAMIN,PLA2G2A
MARAVIROC,CCR5
FLUNARIZINE,HRH1
FLUNARIZINE,CALM1
FLUNARIZINE,CALM2
FLUNARIZINE,CALM3
TETRABENAZINE,DRD2
ROXADUSTAT,EGLN1
ROXADUSTAT,EGLN2
ROXADUSTAT,EGLN3
CEDIRANIB,KDR
DRONEDARONE,ADRA1A
DRONEDARONE,ADRA1B
DRONEDARONE,ADRA1D
DRONEDARONE,ADRA2A
DRONEDARONE,ADRA2B
DRONEDARONE,ADRA2C
DRONEDARONE,ADRB1
DRONEDARONE,CACNA1C
DRONEDARONE,CACNA1D
DRONEDARONE,CACNA1S
DRONEDARONE,CACNB1
DRONEDARONE,CACNB2
DRONEDARONE,CACNB3
DRONEDARONE,CACNB4
NILOTINIB,ABL1
NILOTINIB,KIT
OSANETANT,TACR3
PIBOSEROD,HTR4
VATALANIB,FLT1
VATALANIB,KDR
VATALANIB,FLT4
DAPOXETINE,HTR1A
DAPOXETINE,HTR1B
XIMELAGATRAN,F2
TESMILIFENE,HRH1
TAMIBAROTENE,RARA
ILOPERIDONE,HTR2A
ILOPERIDONE,DRD2
ILOPERIDONE,DRD1
ILOPERIDONE,HTR1A
ILOPERIDONE,HTR6
ILOPERIDONE,HTR7
ILOPERIDONE,ADRA1A
ILOPERIDONE,HRH1
ILOPERIDONE,ADRA2C
IMEXON,RRM2
INGENOL MEBUTATE,PRKCD
INGENOL MEBUTATE,PRKCA
BELINOSTAT,HDAC1
BELINOSTAT,HDAC2
BELINOSTAT,HDAC3
BELINOSTAT,HDAC4
