symbol,A2058,A2780,A375,A427,CAOV3,HCT116,HT144,HT29,LOVO,MDAMB436,NCI-H460,NCIH1650,NCIH2122,NCIH23,NCIH520,OCUBM,OV90,OVCAR3,PA1,RKO,RPMI7951,SK-OV-3,SKMEL30,SKMES1,SW-620,SW837,T-47D,UACC62,UWB1289,VCAP
ADAM17,16,10,11,20,12,20,12,10,7,15,14,9,19,14,12,14,5,14,8,17,15,8,9,11,13,10,4,7,21,4
ADCY1,4,2,0,4,1,0,9,0,2,15,1,0,2,1,3,0,0,0,0,0,3,0,4,1,0,0,0,6,1,3
ADCY10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCY2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0
ADCY3,12,10,13,18,9,10,15,10,14,7,16,7,10,10,8,5,5,3,7,20,12,14,13,9,20,27,3,11,16,6
ADCY4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCY5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCY6,6,9,8,12,8,5,7,16,19,6,1,10,4,2,6,32,16,11,5,9,7,34,7,4,12,17,37,2,7,19
ADCY7,2,2,2,3,0,6,1,0,3,4,6,4,3,0,22,0,0,1,1,12,4,3,1,4,4,13,0,1,1,0
ADCY8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCY9,2,4,2,1,3,3,7,0,4,4,3,2,1,0,0,1,2,1,1,2,4,12,4,1,1,4,8,2,6,1
ADCYAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCYAP1R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADGRB1,0,8,0,7,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3
ADIPOQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADIPOR1,69,51,58,51,47,33,45,34,28,47,57,61,51,23,46,35,31,33,45,24,26,36,61,68,33,41,49,48,26,35
ADIPOR2,22,21,24,34,39,21,25,27,21,32,15,25,14,35,23,33,25,19,13,15,15,10,32,16,29,23,18,21,13,23
ADORA1,0,0,3,0,2,0,0,0,0,1,0,0,0,1,0,3,0,16,1,0,2,0,0,0,0,0,0,0,3,0
ADORA2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADORA2B,3,4,8,3,3,12,0,1,11,9,2,13,4,4,1,0,0,2,2,20,3,2,2,26,6,5,0,27,1,1
ADORA3,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0
ADRA1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADRA1B,0,0,1,0,1,0,4,0,0,0,0,3,0,1,0,0,0,3,0,0,0,8,0,1,1,0,0,0,5,0
ADRA1D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ADRA2A,0,0,0,0,0,0,1,10,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,2
ADRA2B,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADRA2C,0,2,0,17,0,7,0,0,0,6,5,1,0,5,40,0,0,1,0,0,0,7,0,0,22,15,4,2,0,0
ADRB1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ADRB2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,3,3,0,0,0,0,2,6
ADRB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFDN,6,3,2,10,5,11,2,17,13,7,3,13,8,6,12,8,5,17,16,10,9,17,5,12,9,33,3,3,17,19
AFP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,3
AGAP2,0,4,0,1,0,3,1,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0
AGER,3,3,1,3,1,5,3,2,2,0,0,3,1,2,3,3,5,3,3,1,2,1,3,0,2,1,3,1,1,1
AGRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGT,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGTR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AIFM2,8,0,5,3,13,9,6,8,10,23,21,4,24,0,34,1,13,5,0,10,7,5,15,6,17,7,0,3,6,1
AIM2,0,0,10,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0
AJUBA,4,12,6,13,21,8,8,13,15,14,9,15,13,10,1,6,28,28,17,5,14,43,1,12,20,42,16,3,71,1
AKT1,15,20,10,28,19,14,18,13,14,11,23,12,16,7,12,52,17,13,12,15,10,24,22,18,17,21,33,18,12,14
AKT1S1,11,15,18,9,4,10,24,24,9,9,9,26,12,7,8,15,16,4,10,6,16,9,7,11,7,8,9,12,10,14
AKT2,8,9,10,7,7,8,8,12,6,4,5,12,8,5,10,9,14,56,13,6,10,10,6,5,9,11,8,10,7,14
AKT3,11,0,15,10,0,0,11,0,0,8,2,8,0,3,1,0,0,2,5,4,11,1,11,1,4,4,0,9,9,6
ALDOA,187,167,185,127,228,61,242,213,109,238,301,204,199,162,107,116,132,115,194,119,119,202,242,188,61,69,149,186,160,55
ALDOB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALDOC,4,12,13,1,6,11,25,35,2,6,6,0,2,0,4,9,3,3,27,5,9,3,0,0,0,7,13,16,0,6
AMH,4,2,2,5,0,9,2,4,1,0,2,3,0,0,12,6,2,3,3,0,0,1,1,0,11,9,8,2,0,7
AMHR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
ANAPC5,15,17,17,8,14,11,13,8,19,18,19,11,16,14,11,18,15,9,11,8,12,8,15,12,15,12,20,17,15,13
ANGPT1,7,0,3,4,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,13,0,0
ANGPT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPT4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGPTL4,0,4,5,6,1,2,3,0,0,5,4,16,0,6,0,0,0,1,0,20,4,6,1,5,0,0,6,4,0,1
AOX1,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,13,4,0,0,2,0,0,0,0,0,11
APAF1,2,3,3,3,1,4,3,4,9,0,2,3,2,3,4,5,2,3,4,3,2,2,3,2,2,3,6,4,4,2
APBB1IP,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0
APC,4,3,7,3,5,3,5,3,5,3,1,2,2,3,8,5,2,7,2,4,4,4,3,3,3,4,3,4,2,1
APC2,0,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APH1A,63,71,53,47,56,23,45,41,41,80,57,44,41,45,57,57,42,54,37,34,41,40,66,46,24,43,61,28,52,31
APH1B,0,2,1,2,1,2,1,2,1,3,0,3,0,0,0,0,1,2,3,7,6,2,0,5,0,2,4,1,0,6
APLNR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0
APOA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1,2,0,0,0,0,0,0,0,0,0,0,0
APOA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
APOA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQP7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARAP3,9,0,12,0,5,5,10,0,3,1,2,1,6,1,0,0,2,2,8,8,7,10,7,6,5,8,0,0,4,9
AREG,0,0,3,697,15,335,1,74,26,7,1,6,45,4,16,0,18,4,0,0,1,1,0,97,16,15,25,0,59,0
ARF1,168,202,159,78,139,108,133,161,89,200,224,152,165,88,157,132,145,89,114,93,116,119,147,130,98,109,195,124,204,42
ARF6,27,37,20,16,16,54,31,32,52,18,21,30,37,24,20,22,29,29,14,38,34,61,32,35,55,34,52,29,21,45
ARHGDIA,57,74,97,64,68,79,76,61,54,51,123,52,57,50,44,147,55,85,64,80,66,101,157,85,89,86,66,74,58,78
ARHGDIB,14,2,1,0,19,0,2,10,0,0,0,32,4,1,0,3,1,6,0,0,21,1,0,7,1,0,8,22,109,29
ARHGDIG,0,2,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
ARHGEF12,6,6,7,4,5,12,4,17,10,3,3,5,4,5,8,10,5,5,3,10,10,18,2,9,14,22,9,3,12,12
ARNT,5,18,8,9,5,9,5,7,5,24,6,5,7,14,11,11,5,7,7,8,6,11,6,6,5,9,12,5,8,7
ARRB1,5,1,2,5,2,3,1,8,7,1,1,4,0,2,0,5,8,1,21,5,6,7,4,3,4,4,13,1,2,4
ARRB2,8,11,6,15,3,10,4,5,6,9,12,4,4,10,4,4,37,3,15,20,4,2,5,4,6,6,5,3,11,4
ASPH,43,7,13,25,22,37,30,30,8,19,69,28,186,3,8,10,10,9,5,11,26,29,11,102,16,6,3,19,18,7
ATF2,8,13,5,13,13,10,7,10,8,16,6,5,3,8,15,7,9,5,8,7,11,12,6,10,8,7,6,10,11,6
ATF4,151,298,167,170,161,208,170,209,172,99,216,118,282,109,288,123,236,113,106,205,180,107,114,74,229,112,105,155,132,146
ATF6B,41,25,14,16,29,9,24,31,14,10,13,16,13,9,21,34,18,22,8,29,28,20,36,29,14,17,54,17,14,13
ATG12,5,7,6,25,6,20,6,8,5,4,4,13,5,4,10,3,6,4,5,10,6,12,5,7,10,8,5,4,2,3
ATG16L1,7,6,8,4,7,7,9,4,9,12,9,8,5,11,7,8,5,7,6,5,13,18,7,9,7,6,5,9,4,5
ATG5,13,7,7,16,8,14,6,12,11,18,8,5,8,9,10,5,10,11,15,9,12,12,5,12,12,6,6,7,9,10
ATM,5,4,4,3,1,6,2,4,3,2,1,2,2,2,4,2,1,2,3,5,7,3,4,5,9,11,4,6,3,4
ATP1A1,181,54,192,28,105,67,145,89,116,57,60,100,68,82,93,56,191,156,69,50,51,81,537,138,97,64,44,208,87,60
ATP1A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
ATP1A3,0,0,0,3,4,5,0,0,5,0,0,1,1,1,0,0,0,0,0,8,0,0,0,0,2,0,1,0,0,11
ATP1A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP1B1,26,0,22,9,25,19,22,292,35,36,35,53,57,7,59,29,107,15,16,5,8,41,3,63,10,62,22,32,23,10
ATP1B2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0
ATP1B3,86,47,63,63,95,55,140,19,63,40,106,72,30,167,79,43,60,39,70,66,59,62,117,55,44,73,52,256,31,34
ATP2A1,0,0,0,3,0,1,0,1,1,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,2,0,1,0
ATP2A2,38,34,35,24,18,26,44,28,34,17,37,32,50,41,37,20,26,37,23,25,31,31,34,18,24,24,39,33,35,52
ATP2A3,0,0,0,3,3,5,0,10,0,17,1,0,3,1,0,16,0,0,3,0,0,0,0,4,0,3,9,0,0,5
ATP2B1,8,22,10,4,6,18,16,15,13,3,20,14,13,19,8,7,11,22,5,4,28,9,6,6,3,17,7,19,8,11
ATP2B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ATP2B4,14,6,23,0,2,11,21,3,4,13,3,11,5,4,1,4,4,20,6,1,11,19,14,19,0,7,4,16,6,1
ATP6V1A,14,13,21,16,43,14,19,22,11,27,11,17,20,10,18,25,13,21,24,9,17,10,19,23,13,17,25,18,25,20
ATP6V1B1,0,0,0,0,1,0,0,14,0,0,1,1,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,0,3,0
ATP6V1B2,26,10,9,9,11,8,37,3,7,27,7,7,11,12,11,8,5,18,8,18,20,8,58,7,13,3,19,32,2,12
ATP6V1C1,17,13,14,13,19,15,17,12,10,13,9,24,9,17,10,9,9,17,13,50,12,10,34,12,9,10,19,18,19,16
ATP6V1C2,0,1,0,1,1,3,1,0,4,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,4,1,0,0,1
ATP6V1D,15,7,11,14,16,6,17,9,9,34,12,14,11,19,9,6,11,16,15,13,14,12,16,14,8,8,20,19,8,9
ATP6V1E1,43,30,31,47,186,20,46,19,14,32,22,41,20,13,21,19,27,32,35,21,37,34,82,44,21,10,24,56,41,28
ATP6V1E2,1,3,1,6,0,2,0,0,3,2,1,1,2,3,4,2,1,1,1,1,1,2,0,2,2,2,0,1,1,1
ATP6V1F,116,101,86,138,116,57,107,59,81,117,99,85,73,119,42,55,178,48,98,174,90,37,218,72,67,57,87,158,83,97
ATP6V1G1,82,60,58,61,116,73,77,68,45,117,71,81,65,63,44,89,77,69,67,141,43,80,178,65,59,53,167,87,51,224
ATP6V1G2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ATP6V1G3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ATP6V1H,12,7,10,5,8,4,10,8,6,14,5,8,13,6,14,6,7,13,7,13,7,9,18,9,4,8,19,8,12,18
ATR,4,3,5,4,7,5,5,4,5,3,4,4,2,7,5,6,2,13,3,5,5,3,3,4,6,6,5,7,5,4
ATXN1,3,0,1,0,0,3,2,8,0,0,1,2,1,2,4,1,2,2,1,0,5,1,3,2,5,3,1,4,1,0
ATXN1L,6,8,8,5,4,7,7,8,9,5,5,19,4,9,22,6,6,5,7,6,8,14,8,9,18,12,10,4,5,3
AVP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVPR1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
AVPR1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AXIN1,4,7,4,8,2,4,2,12,9,12,6,3,5,2,8,6,7,3,9,11,2,8,7,3,16,14,5,4,4,3
AXIN2,0,0,0,16,1,3,0,11,32,0,0,0,0,0,38,0,1,0,6,0,1,0,1,1,24,57,0,0,1,0
AZI2,5,5,6,13,4,9,6,4,3,8,3,5,4,4,4,8,1,3,6,6,6,3,5,4,9,3,4,3,4,4
BAD,12,11,17,27,23,8,12,14,8,15,18,20,10,8,10,24,19,17,21,12,21,13,18,14,8,11,25,12,15,99
BAG4,5,8,5,5,4,10,3,1,5,3,3,3,4,5,12,8,2,7,8,6,4,6,4,3,5,18,3,6,7,6
BAMBI,73,0,23,0,2,4,43,2,12,16,1,6,15,6,130,12,55,1,43,1,11,7,80,5,29,45,21,110,2,0
BAX,14,31,25,36,9,15,41,24,15,18,20,18,23,24,7,8,22,4,70,35,18,17,12,14,19,17,6,44,16,8
BBC3,0,4,1,11,0,18,3,13,7,1,0,1,1,0,1,0,4,0,14,14,3,0,1,1,4,17,0,2,6,0
BCAR1,7,6,7,3,3,3,8,12,6,12,2,23,5,5,3,5,7,4,24,6,7,11,11,11,14,27,7,5,11,5
BCL10,5,4,5,5,11,12,4,10,7,10,2,5,4,7,2,4,3,5,8,101,6,2,6,12,6,4,3,3,12,3
BCL2,1,1,0,1,0,0,1,0,4,1,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0
BCL2A1,10,0,3,20,0,0,28,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,75,1,0,0,0,58,0,0
BCL2L1,6,7,11,27,30,86,9,99,27,20,8,41,26,6,36,25,46,39,43,115,23,40,10,24,147,161,48,7,119,21
BCL2L11,2,0,2,1,5,6,1,4,5,10,1,6,6,2,4,11,4,4,1,3,2,1,1,1,4,9,1,2,9,3
BCL3,3,2,3,3,2,6,4,5,4,11,2,7,13,6,0,16,19,1,0,2,9,8,0,5,0,7,6,5,5,3
BCL6,2,2,3,2,2,5,5,8,1,4,1,3,5,0,2,3,5,2,1,4,2,1,2,4,0,2,16,4,6,5
BDKRB1,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
BDKRB2,0,0,0,0,0,0,0,0,1,19,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0
BDNF,4,0,0,3,4,4,0,3,0,0,3,1,1,0,0,0,0,2,0,0,2,5,0,1,0,9,0,0,3,0
BECN1,21,7,14,14,4,11,21,13,7,6,9,8,12,13,9,14,9,6,6,11,10,12,12,10,11,11,14,19,9,8
BID,10,6,5,6,33,6,6,9,8,10,8,15,11,2,3,11,5,25,5,12,9,3,5,8,9,5,9,4,17,3
BIRC2,20,19,20,67,22,19,24,20,10,14,7,21,8,53,10,8,10,8,8,19,15,37,8,20,20,28,23,13,11,11
BIRC3,2,0,0,144,4,1,0,1,0,8,0,2,2,45,0,0,0,0,0,4,4,1,0,15,1,9,0,0,4,1
BIRC5,55,37,32,20,35,15,34,10,28,17,57,38,21,45,51,56,34,34,26,6,16,34,44,32,17,7,40,32,22,37
BLNK,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,2
BMP2,0,0,3,0,0,0,1,8,6,4,0,2,2,1,0,0,20,0,0,0,0,4,0,1,0,2,0,1,3,0
BMP4,0,0,0,2,6,18,1,94,178,0,0,0,0,0,10,1,14,1,2,0,18,1,0,7,18,73,9,1,7,0
BMP5,0,0,0,0,0,0,0,0,0,0,1,6,0,12,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
BMP6,0,0,2,0,0,1,2,0,1,0,5,0,2,4,0,0,0,0,1,0,0,1,0,0,0,2,0,4,7,0
BMP7,0,2,0,9,1,2,0,0,4,9,0,9,0,7,7,0,3,97,0,0,0,0,0,0,16,9,0,12,0,7
BMP8A,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMP8B,6,0,6,2,5,5,4,1,3,3,1,0,2,1,7,2,0,0,1,1,0,2,1,1,1,6,2,1,1,2
BMPR1A,3,8,4,6,7,5,3,3,5,2,3,4,2,2,4,3,3,7,17,5,3,7,4,2,5,5,5,2,2,5
BMPR1B,0,0,0,1,0,0,1,0,3,1,0,0,2,0,0,1,2,2,0,0,0,2,1,0,0,0,0,0,0,7
BMPR2,4,5,3,9,7,4,4,8,3,5,2,7,1,5,6,10,4,6,4,2,11,16,12,7,4,24,4,3,9,5
BNIP3,23,27,18,21,17,5,27,0,4,27,27,20,16,13,5,7,2,9,11,0,18,7,25,17,0,0,7,21,4,22
BOC,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,3,0,0,1,0,0,0,1,0,0
BORCS8-MEF2B,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BRAF,3,3,4,3,4,7,2,6,4,3,1,3,1,4,5,4,3,3,3,9,3,1,2,2,8,7,2,3,5,10
BRAP,5,7,7,4,5,6,7,5,9,4,5,5,6,10,9,6,5,7,6,7,5,5,6,5,7,8,7,7,9,6
BRCA1,11,11,11,7,5,5,8,4,11,4,10,8,6,10,8,15,3,4,2,5,3,9,7,6,5,4,10,6,2,8
BTC,1,0,0,19,3,6,0,2,4,0,0,1,3,0,1,1,0,14,0,0,0,3,0,9,0,4,0,0,8,0
BTRC,3,5,5,3,6,9,2,2,3,4,4,2,4,3,3,3,4,7,6,6,2,2,4,4,6,7,5,2,2,7
CAB39,11,10,14,9,16,19,14,19,17,20,10,24,13,13,15,17,20,14,12,18,19,26,14,25,22,16,5,17,13,19
CAB39L,2,1,0,4,0,2,1,3,0,2,0,1,2,3,1,5,0,1,3,5,1,1,2,1,8,0,7,0,1,24
CACNA1C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CACNA1D,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3
CACNA1S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNA2D1,0,11,0,2,2,0,4,0,0,2,1,0,2,5,0,3,0,0,3,17,1,0,0,0,0,0,0,3,2,1
CACNA2D2,0,0,0,4,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1
CACNA2D3,0,0,0,0,1,0,0,0,0,2,3,0,0,0,4,0,0,1,0,0,6,2,0,0,0,0,0,0,0,0
CACNA2D4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0,0
CACNB1,1,1,1,4,0,2,1,1,1,0,1,1,0,2,1,0,0,1,0,2,1,1,2,2,2,4,4,1,3,1
CACNB2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CACNB3,3,2,3,11,3,3,2,6,8,1,1,3,0,1,0,11,2,8,3,4,2,2,2,2,2,4,7,1,2,3
CACNB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CACNG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNG4,0,0,0,1,8,0,0,9,0,1,1,17,0,1,0,7,0,49,7,0,0,0,0,1,5,36,32,0,13,3
CACNG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNG6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,9,0,0,0,0,30,0
CACNG7,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0
