symbol,786-O,A-375,A-427,A-498,A-549,A-673,A2058,A2780,ACHN,BT-549,CCRF-CEM,COLO 205,Caki-1,Caov-3,DU145,EKVX,HCC2998,HCT 116,HCT 15,HDLM-2,HOP-62,HOP-92,HT-144,HT-29,Hs 578T,Huh-7,IGROV-1,K-562,KM12,L-1236,L-428,LOX-IMVI,LoVo,M14,MCF-7,MDA-MB-231,MDA-MB-436,MDA-MB-468,MMAc-SF,MOLT-4,MZ-MEL-7,NCI-H1650,NCI-H2122,NCI-H226,NCI-H23,NCI-H322M,NCI-H460,NCI-H520,NCI-H522,OCUB-M,OV-90,OVCAR-3,OVCAR-4,OVCAR-5,OVCAR-8,PA-1,PC-3,RD,RKO,RPMI-7951,RPMI-8226,RXF 393L,SF268,SF295,SF539,SK-MEL-2,SK-MEL-28,SK-MEL-30,SK-MEL-5,SK-MES-1,SK-OV-3,SN12C,SNB-75,SR,SW620,SW837,T-47D,T98G,TC-71,TK-10,U-251MG,UACC-257,UACC-62,UO-31,UWB1.289,VCaP,WM115
ACVR2B,0,0,0,-1,0,-2,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,1,-1,1,1,-1,1,0,0,0,0,0,0,-1,0,-1,-1,2,0,1,0,-1,0,-1,-1,-1,-1,0,-1,-1,0,2,0,1,0,1,0,0,1,0,-1,1,0,0,1,0,-1,1,-1,-1,1,0,0,0,-1,0,-1,-1,-1,0,-1,-1,1,-1,1,0
ADAM17,0,0,1,1,1,0,0,0,1,-1,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,1,-1,0,0,0,1,-1,1,0,0,-1,-1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,-1,1,-1,0,0,1,0,2,0,1,-1,0,1,0,1,0,1,-1,-1,1,-1,0,0,0,-1,-1,0,1,0,0,1,-1,1,0,0
ADCY1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,2,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,-1,1,1,0,1,1,1,1,1,1,1,0,1,1,-1,-1,2,1,-1,0,1,1,0,1,1,1,1,1,1,1,0,-1,1,1,-1,1,1,1,2,0,1,1,1,1,1,-1,2,1,1,1,1
ADCY10,0,1,1,1,0,0,1,1,1,1,0,1,1,-1,0,0,0,0,0,0,0,1,0,0,0,-1,1,1,0,1,0,0,0,0,0,0,0,1,1,-1,2,0,1,0,0,1,1,1,1,1,0,0,1,1,-1,0,1,1,0,-1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,-1,1,0,0
ADCY2,1,0,2,1,0,0,1,0,0,1,0,1,1,2,1,1,0,0,0,2,1,1,1,1,1,0,0,1,-1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,-1,0,0,1,0,0,1,0,0,-1,-1,1,1,1,0,-1,0,0,1,1,0,1,1,1,1,0,1,1,-1,1,1,2,1,0,1,1,0
ADCY3,0,-1,1,1,1,0,0,0,1,-1,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,1,-1,0,0,0,1,-1,1,0,1,-1,-1,1,1,0,0,0,0,1,0,1,1,1,-1,1,1,1,1,0,1,-1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,-1,-1,1,-1,0,1,0,-1,-1,-1,1,0,0,1,-1,1,0,0
ADCY4,0,-1,0,-1,-1,0,0,0,0,-1,0,0,-1,0,-1,-1,0,0,0,-1,0,1,0,-1,-1,1,0,-1,0,-1,1,0,0,-1,-1,0,1,-1,-1,0,0,-1,1,0,1,1,1,-1,-1,-1,0,0,-1,1,1,0,1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,0,-1,1,0,0
ADCY5,0,-1,1,-1,0,0,0,0,0,0,0,1,1,2,-1,-1,0,0,0,-1,0,0,1,1,1,1,-1,-1,0,0,0,0,0,1,-1,-1,1,0,-1,0,1,0,-1,-1,1,-1,-1,1,-1,1,0,1,1,0,1,0,1,0,0,1,0,-1,-1,0,1,1,1,1,0,1,0,-1,0,0,0,0,0,-1,-1,0,0,0,1,1,1,0,0
ADCY6,-1,0,1,-1,0,0,0,0,1,-1,0,0,1,1,0,-1,0,-1,0,-1,-1,0,0,0,-1,1,0,0,0,1,1,1,1,0,1,-1,-1,-1,2,0,0,0,-1,1,1,0,1,0,0,1,1,0,0,0,-1,0,1,0,0,-1,0,0,0,0,-1,-1,-1,0,0,-1,2,1,-1,0,1,0,1,-1,1,0,-1,0,0,1,1,1,-1
ADCY7,0,-1,0,0,0,0,0,0,1,-1,0,0,1,-1,0,-1,0,0,0,-1,1,-1,0,-1,-1,-1,0,0,0,0,0,-1,0,-1,-1,-1,-1,1,-1,0,0,1,-1,-1,0,1,1,1,0,-1,0,-1,2,1,1,0,0,0,0,0,1,-1,-1,1,-2,-1,-1,-1,-1,0,1,1,-1,0,1,0,-1,0,-1,-1,0,-1,-1,1,-1,-1,-1
ADCY8,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,2,0,2,1,1,0,2,2,1,1,0,1,1,1,2,0,0,1,1,1,-1,1,1,1,1,1,0,2,1,-1,2,1,2,1,-1,2,1,2,0,2,1,2,1,0,2,1,0,1,0,1,0,1,-1,1,1,0,0,-1,0,1,1,-1,1,0,1,1,1,2,1,0
ADCY9,0,-1,0,1,-1,0,0,0,1,-1,0,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,1,-1,-1,-1,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,0,0,0,1,-1,1,-1,-1,1,-1,-1,1,-1,-1,0,0,0,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,1,-1,-1,0
ADCYAP1,0,-1,1,-1,-1,0,0,0,0,0,0,-1,1,1,1,-1,0,0,0,-1,1,0,-1,1,1,1,-1,1,-1,0,0,0,0,1,1,0,-1,1,-1,-1,0,0,-1,0,1,0,0,-1,1,-1,1,1,-1,1,-1,0,1,0,1,-1,1,1,0,0,-1,0,-1,-1,-1,1,0,1,-1,0,0,-1,-1,-1,1,-1,1,-1,-1,0,2,1,0
ADCYAP1R1,1,0,1,1,0,0,1,0,1,1,0,-1,1,2,1,1,1,0,0,-1,0,1,1,1,1,0,1,0,0,0,-1,0,1,-1,-1,0,0,1,1,0,1,1,1,1,1,1,1,-1,1,1,-1,0,2,1,-1,0,1,1,0,1,0,1,1,1,1,1,0,-1,1,1,-1,0,1,1,1,0,1,1,1,1,1,-1,1,1,-1,0,1
ADGRB1,1,-1,1,1,1,0,1,0,-1,1,0,-1,1,-1,0,-1,0,1,0,-1,1,1,0,1,2,0,1,0,1,1,1,2,0,0,0,0,1,-1,1,1,1,1,0,1,2,1,-1,1,1,2,1,-1,2,1,2,0,1,1,2,0,-1,1,1,0,1,-1,0,0,1,0,0,0,0,0,-1,0,1,1,-1,1,-1,0,0,1,2,1,-1
ADIPOQ,0,-1,2,-1,-1,0,1,0,0,0,0,1,1,2,1,-1,0,0,0,2,0,1,1,0,1,0,-1,0,0,-1,0,0,0,1,0,0,-1,-1,-1,0,1,0,0,0,1,1,-1,2,1,1,0,1,0,1,-1,0,0,0,0,1,1,-1,-1,0,1,1,1,1,1,1,0,1,1,0,1,0,2,1,-1,0,1,0,1,1,2,0,0
ADIPOR1,-1,1,0,1,0,0,1,1,1,1,0,1,1,-1,0,2,0,-1,0,-1,-1,1,0,-1,0,-1,0,1,-1,1,0,0,0,0,2,0,0,1,1,-1,1,0,1,-1,0,1,1,0,1,0,0,-1,1,1,-1,0,0,1,1,-1,1,0,1,0,1,0,0,1,0,1,-1,-1,0,1,-1,0,1,0,1,1,1,-1,0,-1,-1,0,0
ADIPOR2,-1,0,2,-1,0,0,0,0,1,0,0,0,1,2,-1,0,0,0,0,2,1,-1,0,0,-1,1,0,-1,0,1,1,1,1,1,-1,-1,1,-1,0,0,0,0,-1,0,1,1,1,1,-1,1,1,-1,0,0,1,0,-1,0,1,-1,0,0,1,0,0,0,-1,0,0,-1,-1,-1,-1,0,1,-1,0,0,-1,0,0,-1,0,1,-1,1,0
ADORA1,-1,1,0,1,0,0,1,1,1,1,0,1,1,-1,0,2,0,-1,0,-1,-1,1,0,-1,0,-1,0,1,-1,1,0,0,0,0,2,0,0,1,1,-1,1,0,1,-1,0,1,1,0,1,0,0,-1,1,1,-1,0,0,1,1,-1,1,0,1,0,1,0,0,1,0,1,-1,-1,0,1,-1,0,1,0,1,1,1,-1,0,-1,-1,0,0
ADORA2A,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,-1,2,-1,0,0,-1,0,-1,-1,0,0,-1,1,1,0,-1,0,-1,-1,-1,0,1,-1,-1,-1,0,1,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,1,1,1,2,-1,0,-1,0,0,-1,0,0,-1,1,0,1,1,0,1,-1,0,-1,-1,0,-1,1,-1,0,0,-1,-1,-1,1,-1,0,0,0
ADORA2B,0,0,0,1,1,0,0,0,1,1,0,0,-1,-1,-2,0,0,0,0,-1,1,-1,0,-1,1,1,0,-1,0,-1,1,1,0,0,-1,0,0,-1,1,-1,0,0,1,-1,-1,1,1,-1,0,-1,-1,1,-1,0,-1,0,-1,0,0,-1,-1,-1,1,0,0,-1,0,-1,0,-1,-1,2,-1,0,0,-1,-1,0,-1,-1,1,-1,1,0,-1,0,-1
ADORA3,0,0,-1,-1,-1,0,0,0,0,1,0,-1,0,0,-1,0,0,0,0,0,-1,1,-1,0,1,-1,0,1,0,0,1,0,0,1,1,1,-1,1,0,0,0,0,-1,0,0,-1,-1,-1,1,-1,0,0,-1,0,1,0,1,1,0,1,-1,1,1,0,1,2,1,1,-1,1,0,0,0,0,0,-1,-1,0,1,1,1,0,1,-1,1,0,1
ADRA1A,-1,-1,0,-1,0,0,0,0,0,1,0,-1,0,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,1,1,1,0,0,-1,1,-1,0,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,0,-1,1,0,-1,-1,-1,-1,0,1,0,-1,0,-1,-1,0,-1,0,0,0,-1,-1,0,0,-1,0,-1,0,0,-1,-1,0
ADRA1B,0,-1,1,1,0,-2,0,0,0,1,0,0,1,2,0,0,0,-1,0,2,1,0,0,0,-1,-1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,-1,0,1,2,1,1,0,1,0,0,-1,0,0,1,1,1,1,1,1,-1,-1,0,1,0,1,0,1,1,1,-1,-1,1,-1,-1,-1,1,-1,0
ADRA1D,0,0,0,-1,1,0,0,0,0,0,1,1,-1,1,-1,1,0,-2,0,-1,1,-1,-1,0,1,1,1,-1,0,1,0,1,0,1,-1,0,-1,1,-1,1,1,0,1,-1,0,-1,1,-1,-1,1,1,-1,0,1,1,0,1,0,1,1,0,1,1,0,0,-1,1,1,1,-1,0,-1,1,0,1,-1,0,1,1,1,0,1,0,1,1,1,0
ADRA2A,0,0,0,0,0,0,0,0,1,-2,0,0,0,1,0,0,0,1,0,0,-1,0,-1,0,-1,-1,0,-1,0,-1,0,0,0,-1,-1,0,1,-1,-1,0,0,0,0,-1,0,1,1,-1,1,-1,0,1,0,0,-1,0,-1,1,0,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,0,0,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1
ADRA2B,0,-1,0,1,0,0,0,0,1,-1,0,0,0,1,-1,0,0,0,0,-1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-1,-1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,-1,-1,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,-1,1,0,0
ADRA2C,0,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,1,2,0,-1,0,-1,0,-1,0,-1,-1,-1,-1,1,-1,0,0,-1,-1,1,0,-1,-1,-1,1,-1,-1,1,0,-1,-1,-1,1,1,-2,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,1,-1,-1,-1,0,-1,0,0,-1,1,-1,0,-1,-1,-1,1,0,0
ADRB1,0,0,0,1,0,0,0,0,1,-2,0,0,0,1,0,0,0,2,0,0,-1,0,-1,0,-1,-1,0,-1,0,-1,0,-1,0,-1,0,0,1,-1,-1,0,0,0,0,-1,-1,1,1,-1,1,-1,0,1,2,0,-1,0,-1,1,1,-1,-1,1,-1,-1,-1,0,-1,0,-1,-1,0,0,-1,0,0,0,-1,-1,0,-1,0,-1,-1,-1,-1,0,-1
ADRB2,0,1,1,1,0,-1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,-1,0,1,2,1,1,0,2,0,1,-1,0,1,1,1,1,1,1,1,-1,0,0,1,0,1,0,1,1,1,-1,1,1,0,-1,-1,-1,0,0
ADRB3,-1,-1,0,-1,0,0,0,0,0,1,0,-1,0,-1,0,-1,0,0,0,-1,0,-1,-1,-1,1,1,1,0,0,-1,1,1,0,-1,-1,-1,-1,-1,1,1,-1,-1,1,0,-1,-1,-1,2,0,1,-1,1,-1,-1,1,0,-1,1,0,-1,-1,-1,-1,0,1,0,-1,0,0,-1,0,-1,0,0,0,2,1,0,1,1,0,-2,0,0,0,1,0
AFDN,0,-1,0,-1,-1,0,0,-1,0,1,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,-1,1,-1,1,0,-1,-1,-1,0,-1,-1,1,-1,0,-1,1,0,0,-1,-1,0,-1,-1,1,0,-2,0,-1,1,0,-1,2,0,1,0,1,0,-1,1,0,-2,0,0,-1,-1,1,0,-1,0,0,-1,0,-1,-1,2,-1,0,-1,-1,-1,-1,0,0
AFP,-1,-1,0,-1,-1,-2,0,0,0,-1,0,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,-1,0,-1,0,0,0,-1,-1,0,-1,0,0,-1,-1,-1,1,0,0,-1,-1,0,0,0,-1,0,0,-1,0,-1,0,1,0,1,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,1,0,-1,-1,0,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,2,0
AGAP2,-1,0,1,-1,0,0,0,0,1,-1,0,0,1,-1,0,-1,0,-1,0,-1,0,0,0,0,-1,1,0,0,0,1,1,1,1,0,0,-1,-1,-1,2,0,0,0,1,1,1,1,1,-1,-1,1,1,1,0,0,1,0,1,0,1,-1,0,0,0,0,-1,-1,-1,0,0,-1,0,1,-1,0,0,0,1,-1,1,0,-1,-1,0,1,0,1,0
AGER,0,-1,0,-1,-1,0,1,0,-1,1,0,-1,-1,0,0,-2,0,-2,0,0,1,-1,0,-1,1,-1,-1,1,-1,1,-1,1,0,0,1,1,-1,1,-1,1,0,-1,-2,-1,0,-1,-1,-1,1,1,0,-1,1,0,1,0,0,-1,0,-1,0,-1,1,0,1,0,-1,1,-1,-1,0,1,0,0,0,-1,0,0,1,-1,-1,-1,-1,-2,-1,0,-1
AGRP,0,0,0,1,0,0,0,0,1,-1,0,0,1,-1,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,1,0,0,0,-1,-1,-1,-1,0,0,0,1,-1,0,0,1,1,1,-1,-1,0,1,-1,1,1,0,0,0,1,0,1,-1,-1,1,-1,-1,-1,-1,-1,1,2,1,-1,0,2,0,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1
AGT,0,1,-1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,-1,0,1,1,1,0,2,0,1,-1,0,1,1,1,1,0,0,0,-1,0,1,0,1,0,1,-1,1,-1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,-1,1,-1,1,0,1
AGTR1,0,1,2,0,0,0,1,0,0,0,0,1,1,1,1,-1,0,0,0,2,0,1,1,1,1,-1,-1,0,0,0,0,0,0,2,1,-1,-1,0,-1,0,1,0,0,0,1,0,0,2,1,-1,0,2,0,0,-1,0,0,0,0,1,2,1,-1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,-1,0,0,1,1,1,1,0,-1
AIFM2,0,-1,0,0,0,0,-1,0,1,0,0,0,1,1,0,-1,0,-1,0,-1,1,1,-1,-1,-1,-1,0,1,0,-1,-1,-1,0,-1,-1,0,1,0,-1,0,0,-1,0,-1,0,-1,1,1,1,-1,0,0,1,0,0,0,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,1,0,-1,-1,0,-1,-1,-2,-1,-1,1,0,-1
AIM2,0,1,1,1,0,0,1,1,1,1,0,1,1,-1,1,1,0,0,0,0,0,1,0,0,0,-1,0,0,0,1,0,1,0,0,-1,0,1,1,-1,-1,2,0,1,0,1,1,1,1,1,1,-1,0,1,1,-1,0,0,1,-1,-1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0
