Drug,Target
nimodipine,CACNB3
nimodipine,CACNB4
progesterone,PGR
progesterone,ESR1
progesterone,CYP17A1
Sorafenib,BRAF
Sorafenib,RAF1
Sorafenib,FLT4
Sorafenib,KDR
Sorafenib,FLT3
Sorafenib,PDGFRB
Sorafenib,KIT
Sorafenib,FGFR1
Sorafenib,RET
Sorafenib,FLT1
griseofulvin,KRT12
nisoldipine,CACNA1C
nisoldipine,CACNA2D1
nisoldipine,CACNB2
nisoldipine,CACNA1D
nisoldipine,CACNA1S
rosiglitazone,PPARG
rosiglitazone,PPARA
rosiglitazone,PPARD
rosiglitazone,RXRA
rosiglitazone,RXRB
rosiglitazone,RXRG
pramipexole,DRD2
pramipexole,ADRA2B
pramipexole,HTR1A
pramipexole,HTR1D
pramipexole,ADRA2A
pramipexole,HTR1B
pramipexole,HTR2A
pramipexole,HTR2B
pramipexole,ADRA2C
pramipexole,DRD1
pramipexole,DRD5
spironolactone,PGR
spironolactone,CACNG1
spironolactone,CACNA2D1
spironolactone,CACNA2D2
spironolactone,CACNA2D3
spironolactone,CACNA1C
spironolactone,CACNA1D
spironolactone,CACNA1S
spironolactone,CACNB1
spironolactone,CACNB2
spironolactone,CACNB3
spironolactone,CACNB4
hyoscyamine,CHRM1
hyoscyamine,CHRM2
hyoscyamine,CHRM3
CYPROHEPTADINE,HRH1
CYPROHEPTADINE,HTR2A
CYPROHEPTADINE,CHRM1
CYPROHEPTADINE,CHRM2
CYPROHEPTADINE,CHRM3
CYPROHEPTADINE,HTR7
BENDROFLUMETHIAZIDE,KCNMA1
lansoprazole,MAPT
droperidol,DRD2
droperidol,ADRA1A
loratadine,HRH1
prazosin,ADRA1A
prazosin,ADRA1B
prazosin,ADRA1D
prazosin,ADRA2A
prazosin,ADRA2B
Acitretin,RXRA
Acitretin,RARA
Acitretin,RXRB
Acitretin,RXRG
nabumetone,PTGS2
ketorolac,PTGS2
tenoxicam,PTGS2
Lenalidomide,TNFSF11
Lenalidomide,PTGS2
raloxifene,ESR1
raloxifene,ESR2
raloxifene,TFF1
celecoxib,PTGS2
celecoxib,PDPK1
GALLAMINE TRIETHIODIDE,CHRM2
GALLAMINE TRIETHIODIDE,CHRM1
GALLAMINE TRIETHIODIDE,CHRM5
sotalol,ADRB1
sotalol,ADRB2
cimetidine,HRH2
haloperidol,DRD2
haloperidol,DRD1
haloperidol,GRIN2B
haloperidol,HTR2A
Erlotinib,EGFR
rofecoxib,PTGS2
amoxapine,DRD2
amoxapine,DRD1
amoxapine,ADRA2A
amoxapine,ADRA1A
amoxapine,CHRM1
amoxapine,HTR2A
amoxapine,HTR6
amoxapine,HTR7
amoxapine,HRH1
amoxapine,ADRA1A
amoxapine,ADRA1B
amoxapine,ADRA1D
amoxapine,CHRM1
amoxapine,CHRM2
amoxapine,CHRM3
amoxapine,CHRM5
amoxapine,HTR2B
amoxapine,HTR1A
amoxapine,HTR1B
amoxapine,ADRA2A
amoxapine,ADRA2B
amoxapine,ADRA2C
piroxicam,PTGS2
lamotrigine,ADORA1
lamotrigine,ADORA2A
lamotrigine,ADRA1A
lamotrigine,ADRA2A
lamotrigine,ADRB1
lamotrigine,DRD1
lamotrigine,DRD5
lamotrigine,DRD2
lamotrigine,HRH1
lamotrigine,CHRM1
lamotrigine,CHRM2
lamotrigine,CHRM3
lamotrigine,CHRM5
lamotrigine,HTR2A
vinblastine,JUN
ATROPINE,CHRM1
ATROPINE,CHRM2
ATROPINE,CHRM3
ATROPINE,CHRM5
clonidine,ADRA2A
clonidine,ADRA2B
clonidine,ADRA2C
clonidine,ADRA1A
clonidine,ADRA1B
clonidine,ADRA1D
Valdecoxib,PTGS2
FLUTICASONE PROPIONATE,PGR
FLUTICASONE PROPIONATE,PLA2G4A
doxazosin,ADRA1A
doxazosin,ADRA1B
doxazosin,ADRA1D
AMILORIDE,SLC9A1
AMILORIDE,PLAU
Medroxyprogesterone acetate,PGR
Medroxyprogesterone acetate,ESR1
sulindac,PTGS2
sulindac,MAPK3
sulindac,PPARD
chloroquine,TNF
chloroquine,TLR9
Imatinib,KIT
Imatinib,NTRK1
Imatinib,CSF1R
Imatinib,PDGFRA
Imatinib,ABL1
Imatinib,PDGFRB
FLUPHENAZINE,DRD2
FLUPHENAZINE,DRD1
FLUPHENAZINE,CALM1
FLUPHENAZINE,CALM2
FLUPHENAZINE,CALM3
FLUPHENAZINE,HTR2A
DEXMEDETOMIDINE,ADRA2A
clofibrate,PPARA
adenosine,ADORA2A
adenosine,ADORA2B
adenosine,ADORA3
adenosine,ADORA1
simvastatin,HMGCR
simvastatin,ITGB2
simvastatin,ITGAL
mitotane,ESR1
mitotane,PGR
dyphylline,PDE4B
dyphylline,PDE4A
dyphylline,PDE4C
dyphylline,PDE4D
dyphylline,ADORA1
dyphylline,ADORA2A
estrone,ESR1
estrone,ESR2
trazodone,HTR2A
trazodone,HTR1A
trazodone,HRH1
trazodone,ADRA1A
trazodone,ADRA2A
VERAPAMIL,CACNA1C
VERAPAMIL,CACNA1D
VERAPAMIL,CACNA1S
VERAPAMIL,CACNB1
VERAPAMIL,CACNB2
VERAPAMIL,CACNB3
VERAPAMIL,CACNB4
VERAPAMIL,ADRA1A
VERAPAMIL,ADRA1B
VERAPAMIL,ADRA1D
epinephrine,ADRA1A
epinephrine,ADRA1B
epinephrine,ADRB1
epinephrine,ADRB2
epinephrine,ADRA2A
epinephrine,ADRA2B
epinephrine,ADRA1D
epinephrine,ADRA2C
epinephrine,ADRB3
epinephrine,TNF
sumatriptan,HTR1D
sumatriptan,HTR1B
sumatriptan,HTR1F
sumatriptan,HTR1A
Aprepitant,TACR1
tamoxifen,ESR1
tamoxifen,ESR2
tamoxifen,PRKCA
tamoxifen,PRKCB
tamoxifen,PRKCD
tamoxifen,PRKCE
tamoxifen,PRKCG
tamoxifen,PRKCI
tamoxifen,PRKCQ
tamoxifen,PRKCZ
phentolamine,ADRA2A
phentolamine,ADRA1A
phentolamine,ADRA1B
phentolamine,ADRA1D
tizanidine,ADRA2A
tizanidine,ADRA2B
tizanidine,ADRA2C
naltrexone,OPRD1
naltrexone,OPRM1
flurbiprofen,PTGS2
DIPHEMANIL METHYLSULFATE,CHRM3
nateglinide,PPARG
risperidone,HTR2A
risperidone,DRD2
risperidone,ADRA1A
risperidone,ADRA1B
risperidone,HTR1D
risperidone,HRH1
risperidone,ADRA2A
risperidone,ADRA2B
risperidone,ADRA2C
risperidone,HTR1A
risperidone,DRD1
risperidone,HTR7
etodolac,PTGS2
etodolac,RXRA
alprostadil,PTGER2
alprostadil,PTGER1
estradiol,ESR1
estradiol,ESR2
estradiol,NCOA2
estradiol,GPER1
estradiol,BECN1
mefenamic acid,PTGS2
NAPROXEN,PTGS2
PERINDOPRIL,SFRP4
primidone,GRIA2
Candesartan cilexetil,AGTR1
tazarotene,RARA
tazarotene,RXRB
fenoldopam,DRD5
fenoldopam,DRD1
fenoldopam,ADRA2B
fenoldopam,ADRA2C
fenoldopam,ADRA2A
fenoldopam,ADRA1B
fenoldopam,ADRA1D
fenoldopam,ADRA1A
tropicamide,CHRM1
tropicamide,CHRM2
tropicamide,CHRM3
biperiden,CHRM1
phenylbutazone,PTGS2
meloxicam,PTGS2
carprofen,PTGS2
ETHYNODIOL DIACETATE,PGR
ETHYNODIOL DIACETATE,ESR1
trifluoperazine,DRD2
trifluoperazine,ADRA1A
trifluoperazine,CALM1
trifluoperazine,CALM2
trifluoperazine,CALM3
mifepristone,PGR
loperamide,OPRM1
loperamide,OPRD1
loperamide,POMC
loperamide,CALM1
loperamide,CALM2
loperamide,CALM3
dobutamine,ADRB1
dobutamine,ADRB2
dobutamine,ADRA1A
dobutamine,ADRA1B
dobutamine,ADRA1D
dobutamine,ESR1
suprofen,PTGS2
Conivaptan,AVPR1A
bumetanide,CFTR
ondansetron,HTR4
ondansetron,OPRM1
ondansetron,HTR1A
ondansetron,HTR1B
Bimatoprost,PTGFR
Bimatoprost,PTGER1
Bimatoprost,PTGER3
Repaglinide,PPARG
PHENFORMIN,PRKAA1
PHENFORMIN,KCNJ8
amantadine,GRIN3A
amantadine,DRD2
ketotifen,HRH1
LEVOSIMENDAN,KCNJ8
LEVOSIMENDAN,PDE3A
cyclobenzaprine,HTR2A
phenoxybenzamine,ADRA1A
phenoxybenzamine,ADRA2A
phenoxybenzamine,ADRA2C
phenoxybenzamine,ADRA2B
phenoxybenzamine,CALM1
phenoxybenzamine,CALM2
phenoxybenzamine,CALM3
phenoxybenzamine,ADRB2
phenoxybenzamine,ADRA1B
phenoxybenzamine,ADRA1D
famotidine,HRH2
maprotiline,HRH1
maprotiline,CHRM1
maprotiline,CHRM2
maprotiline,CHRM3
maprotiline,CHRM5
maprotiline,ADRA1A
maprotiline,ADRA1B
maprotiline,ADRA1D
maprotiline,HTR2A
maprotiline,HTR7
maprotiline,DRD2
maprotiline,ADRA2A
maprotiline,ADRA2B
maprotiline,ADRA2C
oxymetazoline,ADRA1A
oxymetazoline,ADRA2A
oxymetazoline,ADRA2C
oxymetazoline,ADRA2B
oxymetazoline,ADRA1B
oxymetazoline,ADRA1D
Fulvestrant,ESR1
felbamate,GRIN2B
felbamate,GRIN3A
felbamate,GRIN2A
naratriptan,HTR1D
naratriptan,HTR1B
naratriptan,HTR1F
naratriptan,HTR1A
rizatriptan,HTR1D
rizatriptan,HTR1B
rizatriptan,HTR1F
Telmisartan,AGTR1
Telmisartan,PPARG
Desloratadine,HRH1
methyldopa,ADRA2A
azelastine,HRH1
ethinyl estradiol,ESR1
Isotretinoin,RARA
dopamine,DRD2
dopamine,DRD1
dopamine,DRD5
dopamine,HTR1A
dopamine,HTR7
dopamine,DRD1
dopamine,DRD5
oxaprozin,PTGS2
azathioprine,RAC1
gabapentin,CACNA2D1
gabapentin,CACNA2D2
gabapentin,ADORA1
gabapentin,GRIN1
gabapentin,GRIN2A
gabapentin,GRIN2B
gabapentin,GRIN2C
gabapentin,GRIN2D
gabapentin,GRIN3A
gabapentin,GRIN3B
gabapentin,GABBR1
gabapentin,GABBR2
hydrochlorothiazide,KCNMA1
Salbutamol,ADRB2
Salbutamol,ADRB1
Salbutamol,ADRB3
ketoprofen,PTGS2
ketoprofen,CXCR1
Cinacalcet,CASR
glyburide,KCNJ5
glyburide,CFTR
glyburide,KCNJ8
glyburide,CPT1A
bethanechol,CHRM2
bethanechol,CHRM1
bethanechol,CHRM3
trichlormethiazide,ATP1A1
felodipine,CACNA1C
felodipine,CACNA2D1
felodipine,CACNB2
felodipine,CACNA1D
felodipine,CACNA1S
felodipine,CACNA2D2
felodipine,CALM1
felodipine,CALM2
felodipine,CALM3
felodipine,PDE1B
felodipine,PDE1A
amlexanox,IL3
amlexanox,FGF1
irbesartan,AGTR1
irbesartan,JUN
fenofibrate,PPARA
fenofibrate,PPARG
fenofibrate,PPARD
thalidomide,TNF
thalidomide,NFKB1
thalidomide,FGFR2
thalidomide,PTGS2
memantine,GRIN3A
memantine,GRIN2A
memantine,GRIN2B
memantine,DRD2
memantine,GRIN1
fluocinonide,SMO
ibuprofen,PTGS2
ibuprofen,BCL2
ibuprofen,THBD
ibuprofen,PLAT
ibuprofen,PPARG
ibuprofen,CFTR
ibuprofen,PPARA
nitrendipine,CACNA1C
nitrendipine,CACNA2D1
nitrendipine,CACNB2
nitrendipine,CACNG1
nitrendipine,CACNA1D
nitrendipine,CACNA1S
nitrendipine,CACNA2D2
oxybutynin,CHRM3
oxybutynin,CHRM2
oxybutynin,CHRM1
Melatonin,ESR1
Melatonin,CALM1
Melatonin,CALM2
Melatonin,CALM3
glipizide,PPARG
PERHEXILINE,CPT1A
PERHEXILINE,CPT2
diphenhydramine,HRH1
diphenhydramine,CHRM2
orlistat,FASN
ouabain,ATP1A1
ouabain,ATP1A2
ouabain,ATP1A3
leflunomide,PTK2B
Trilostane,ESR1
Trilostane,ESR2
miconazole,NOS3
miconazole,NOS2
miconazole,KCNMA1
miconazole,KCNMB1
miconazole,KCNMB2
miconazole,KCNMB3
miconazole,KCNMB4
nifedipine,CACNA1C
nifedipine,CACNA2D1
nifedipine,CACNB2
nifedipine,CACNA1D
nifedipine,CACNA1S
nifedipine,CALM1
nifedipine,CALM2
nifedipine,CALM3
Pioglitazone,PPARG
Pioglitazone,PPARD
Pioglitazone,PPARA
carvedilol,ADRB1
carvedilol,ADRA1A
carvedilol,ADRB2
carvedilol,VEGFA
carvedilol,NPPB
carvedilol,VCAM1
carvedilol,ADRA1D
carvedilol,ADRA1B
carvedilol,ADRA2C
carvedilol,ADRA2B
carvedilol,ADRA2A
carvedilol,SELE
carvedilol,HIF1A
carvedilol,KCNJ4
terazosin,ADRA1A
terazosin,ADRA1B
terazosin,ADRA1D
cilostazol,PDE3A
orphenadrine,GRIN2D
orphenadrine,GRIN1
orphenadrine,GRIN3B
orphenadrine,GRIN3A
orphenadrine,HRH1
propafenone,ADRB1
propafenone,ADRB2
domperidone,DRD2
CICLOPIROX,ATP1A1
captopril,MMP2
captopril,MMP9
captopril,BDKRB1
aminophylline,PDE3A
aminophylline,ADORA1
aminophylline,ADORA3
aminophylline,HDAC2
paclitaxel,BCL2
paclitaxel,MAPT
dexamethasone,NOS2
Aripiprazole,HTR2A
Aripiprazole,DRD2
Aripiprazole,HTR1A
Aripiprazole,HTR1B
Aripiprazole,HTR1D
Aripiprazole,HTR1E
Aripiprazole,HTR6
Aripiprazole,HTR7
Aripiprazole,DRD1
Aripiprazole,DRD5
Aripiprazole,HRH1
Aripiprazole,ADRA1A
Aripiprazole,ADRA1B
Aripiprazole,ADRA2A
Aripiprazole,ADRA2B
Aripiprazole,ADRA2C
Aripiprazole,CHRM1
Aripiprazole,CHRM2
Aripiprazole,CHRM3
Aripiprazole,CHRM5
chlorprothixene,DRD2
chlorprothixene,DRD1
chlorprothixene,HTR2A
chlorprothixene,HTR2B
chlorprothixene,HRH1
chlorprothixene,CHRM1
chlorprothixene,CHRM2
chlorprothixene,CHRM3
chlorprothixene,CHRM5
gemfibrozil,PPARA
clomipramine,HTR2A
clomipramine,HTR2B
bepridil,CACNA2D2
bepridil,ATP1A1
bepridil,CALM1
bepridil,CALM2
bepridil,CALM3
bepridil,PDE1B
bepridil,PDE1A
Dasatinib,ABL1
Dasatinib,SRC
Dasatinib,EPHA2
Dasatinib,LCK
Dasatinib,KIT
Dasatinib,PDGFRB
Dasatinib,STAT5B
Dasatinib,ABL2
Dasatinib,FYN
Dasatinib,FGR
Dasatinib,HSPA8
Dasatinib,LYN
Dasatinib,MAP3K20
Dasatinib,MAPK14
Lapatinib,EGFR
Lapatinib,ERBB2
Sunitinib,PDGFRB
Sunitinib,FLT1
Sunitinib,KIT
Sunitinib,KDR
Sunitinib,FLT4
Sunitinib,FLT3
Sunitinib,CSF1R
Sunitinib,PDGFRA
Lumiracoxib,PTGS2
mestranol,ESR1
PROCATEROL,ADRB2
bezafibrate,PPARA
bezafibrate,PPARD
bezafibrate,PPARG
bezafibrate,RXRA
bezafibrate,RXRB
bezafibrate,RXRG
Drospirenone,PGR
Pranlukast,TNF
Pranlukast,IL5
Pranlukast,NFKB1
theobromine,ADORA1
theobromine,ADORA2A
theobromine,PDE4B
antipyrine,PTGS2
alfacalcidol,RXRA
hydroxychloroquine,TLR9
genistein,ESR2
genistein,PTK2B
genistein,NCOA1
genistein,ESR1
genistein,NCOA2
genistein,ESRRB
genistein,AKT1
genistein,GPER1
Roflumilast,PDE4D
Roflumilast,PDE4A
Roflumilast,PDE4B
Roflumilast,PDE4C
rolipram,PDE4D
rolipram,PDE4B
taurine,GRIN2B
taurine,GABBR1
flufenamic acid,PTGS2
flufenamic acid,PPARA
flufenamic acid,PPARG
2-Methoxyestradiol,HIF1A
geldanamycin,HSP90AB1
geldanamycin,HSP90AA1
geldanamycin,HSP90B1
Vorinostat,HDAC1
Vorinostat,HDAC2
Vorinostat,HDAC3
resveratrol,CSNK2A1
resveratrol,PTGS2
resveratrol,ITGA5
resveratrol,ITGB3
resveratrol,ESR1
resveratrol,SLC2A1
resveratrol,PPARA
resveratrol,PPARG
resveratrol,AKT1
naringenin,ESR1
naringenin,ESR2
spermidine,ADRB1
spermidine,ADRB2
Tiratricol,THRB
berberine,BIRC5
arecoline,CHRM1
arecoline,CHRM3
niflumic acid,PLA2G1B
niflumic acid,PTGS2
niflumic acid,PLA2G4A
estriol,ESR1
estriol,ESR2
aniracetam,HTR2A
aniracetam,DRD2
aniracetam,GRIA2
Licofelone,PLA2G2E
Licofelone,PTGS2
nimesulide,PTGS2
nimesulide,PLA2G2E
purvalanol A,SRC
purvalanol A,CSNK1G3
purvalanol A,RPS6KA1
suramin,FSHR
suramin,RYR1
suramin,F2
suramin,PLA2G2A
flunarizine,HRH1
flunarizine,CALM1
flunarizine,CALM2
flunarizine,CALM3
TETRABENAZINE,DRD2
Roxadustat,EGLN1
Roxadustat,EGLN2
Roxadustat,EGLN3
Cediranib,KDR
Dronedarone,ADRA1A
Dronedarone,ADRA1B
Dronedarone,ADRA1D
Dronedarone,ADRA2A
Dronedarone,ADRA2B
Dronedarone,ADRA2C
Dronedarone,ADRB1
Dronedarone,CACNA1C
Dronedarone,CACNA1D
Dronedarone,CACNA1S
Dronedarone,CACNB1
Dronedarone,CACNB2
Dronedarone,CACNB3
Dronedarone,CACNB4
Nebivolol,ADRB1
Nebivolol,ADRB2
Nilotinib,ABL1
Nilotinib,KIT
Osanetant,TACR3
Piboserod,HTR4
Vatalanib,FLT1
Vatalanib,KDR
Vatalanib,FLT4
Dapoxetine,HTR1A
Dapoxetine,HTR1B
Tesmilifene,HRH1
Clevidipine,CACNA1S
Clevidipine,CACNA1D
Clevidipine,CACNA1C
Tamibarotene,RARA
Iloperidone,HTR2A
Iloperidone,DRD2
Iloperidone,DRD1
Iloperidone,HTR1A
Iloperidone,HTR6
Iloperidone,HTR7
Iloperidone,ADRA1A
Iloperidone,HRH1
Iloperidone,ADRA2C
Belinostat,HDAC1
Belinostat,HDAC2
Belinostat,HDAC3
Belinostat,HDAC4
Belinostat,HDAC5
AT7519,CDK1
AT7519,CDK2
ADL5859,OPRD1
Tanespimycin,HSP90AA1
Tanespimycin,HSP90AB1
Pracinostat,HDAC1
Pracinostat,HDAC2
Pracinostat,HDAC3
XL765,PIK3CA
XL765,PIK3CG
XL765,PIK3CD
XL765,PIK3CB
XL765,MTOR
Vandetanib,VEGFA
Vandetanib,EGFR
Vandetanib,TEK
Vandetanib,RET
histamine,HRH1
histamine,HRH2
Emricasan,CASP1
Emricasan,CASP3
Emricasan,CASP7
Talmapimod,MAPK14
Talmapimod,TNF
Talmapimod,IL1B
Canertinib,EGFR
Tandutinib,FLT3
Tandutinib,PDGFD
VX-702,MAPK14
VX-702,TNF
VX-702,IL1B
VX-702,IL6
Pelitinib,EGFR
TG100-115,PIK3CD
TG100-115,PIK3CG
Apremilast,PDE4D
Apremilast,PDE4A
Apremilast,PDE4B
Apremilast,TNF
Apremilast,IL2
Apremilast,IFNG
Apremilast,NOS3
NPS-2143,CASR
Abiraterone,CYP17A1
OSI-930,KIT
OSI-930,FLT1
CVT-6883,ADORA2B
MK-0354,GPER1
VARLITINIB,ERBB2
VARLITINIB,EGFR
SNS-032,VEGFA
Bardoxolone methyl,NFKBIA
RAF265,KDR
RAF265,BRAF
AZD8330,MAP3K1
Linsitinib,IGF1R
Pizotifen,CHRM1
Pizotifen,CHRM2
Pizotifen,CHRM3
Pizotifen,HTR2A
Pizotifen,HTR2B
Pizotifen,HTR1A
Pizotifen,HTR1B
Pizotifen,HTR1D
Pizotifen,HRH1
Pizotifen,ADRA1A
Pizotifen,ADRA1B
Pizotifen,ADRA1D
Pizotifen,ADRA2A
Pizotifen,ADRA2B
Pizotifen,ADRA2C
Rimonabant,CNR1
Romidepsin,HDAC1
Romidepsin,HDAC2
Romidepsin,HDAC4
Rufinamide,GRM5
Silodosin,ADRA1A
Silodosin,ADRA1B
Silodosin,ADRA1D
Eltrombopag,MPL
Tolvaptan,AVPR1A
lonidamine,CFTR
lonidamine,HK1
Temsirolimus,MTOR
amisulpride,DRD2
amisulpride,HTR7
amisulpride,HTR2A
Ambrisentan,EDNRA
Ambrisentan,EDNRB
oxymetholone,NPPB
Semaxanib,KDR
Lonafarnib,IGFBP3
Lestaurtinib,FLT3
Sumanirole,DRD2
Prucalopride,HTR4
Enzastaurin,PRKCB
Enzastaurin,CHEK1
Enzastaurin,CHEK2
Enzastaurin,AKT1
Enzastaurin,PIK3R1
Pazopanib,FLT1
Pazopanib,KDR
Pazopanib,FLT4
Pazopanib,PDGFRA
Pazopanib,PDGFRB
Pazopanib,KIT
Pazopanib,FGFR3
Pazopanib,ITK
Pazopanib,FGF1
Pazopanib,SH2B3
Midostaurin,PRKCA
Midostaurin,KDR
Midostaurin,KIT
Midostaurin,PDGFRA
Midostaurin,PDGFRB
Midostaurin,FLT3
Bosutinib,ABL1
Bosutinib,LYN
Bosutinib,HCK
Bosutinib,SRC
Bosutinib,CDK2
Bosutinib,MAP2K1
Bosutinib,MAP2K2
Bosutinib,MAP3K2
Bosutinib,CAMK2G
Flupirtine,ADRA2A
Axitinib,FLT1
Axitinib,KDR
Axitinib,FLT4
Mevastatin,HMGCR
xylometazoline,ADRA1A
xylometazoline,ADRA2A
xylometazoline,ADRA2B
xylometazoline,ADRA1B
xylometazoline,ADRA1D
xylometazoline,ADRA2C
methyltestosterone,ESR1
nilvadipine,CACNA1C
nilvadipine,CACNA2D1
nilvadipine,CACNB2
nilvadipine,CACNA1D
nilvadipine,CACNA1S
nilvadipine,CACNA2D3
SERATRODAST,TBXA2R
halcinonide,SMO
Nepafenac,PTGS2
Plerixafor,CXCR4
brefeldin A,CYTH2
brefeldin A,ARF1
emodin,CSNK2A1
hexestrol,ESR1
Erteberel,ESR2
Erteberel,ESR1
PH-797804,MAPK14
wortmannin,PIK3CG
wortmannin,PLK1
wortmannin,PIK3R1
wortmannin,PIK3CA
Fasudil,PRKACA
Fasudil,ROCK1
Fasudil,ROCK2
Ivacaftor,CFTR
Vismodegib,SMO
Crizotinib,MET
Ulipristal,PGR
Fingolimod,S1PR5
Fingolimod,HDAC1
Cabozantinib,MET
Cabozantinib,KDR
Cabozantinib,RET
Ruxolitinib,JAK1
Ruxolitinib,JAK2
Vemurafenib,BRAF
Mirabegron,ADRB3
Tofacitinib,JAK1
Tofacitinib,JAK2
Tofacitinib,JAK3
Tofacitinib,TYK2
Regorafenib,FLT1
Regorafenib,KDR
Regorafenib,FLT4
Regorafenib,KIT
Regorafenib,PDGFRA
Regorafenib,PDGFRB
Regorafenib,FGFR1
Regorafenib,FGFR2
Regorafenib,TEK
Regorafenib,NTRK1
Regorafenib,EPHA2
Regorafenib,RAF1
Regorafenib,BRAF
Regorafenib,MAPK11
Regorafenib,ABL1
Regorafenib,RET
PONATINIB,ABL1
PONATINIB,KIT
PONATINIB,RET
PONATINIB,TEK
PONATINIB,FLT3
PONATINIB,FGFR1
PONATINIB,FGFR2
PONATINIB,FGFR3
PONATINIB,FGFR4
PONATINIB,LCK
PONATINIB,SRC
PONATINIB,LYN
PONATINIB,KDR
PONATINIB,PDGFRA
Dimethyl fumarate,RELA
Pomalidomide,TNF
Pomalidomide,PTGS2
