Drug,Target
Bimatoprost,PTGER3
Bimatoprost,PTGFR
Binimetinib,IL1B
Binimetinib,IL6
Binimetinib,MAP2K2
Binimetinib,MAP3K1
Binimetinib,TNF
Bosutinib,ABL1
Bosutinib,CAMK2G
Bosutinib,CDK2
Bosutinib,HCK
Bosutinib,LYN
Bosutinib,MAP2K1
Bosutinib,MAP2K2
Bosutinib,MAP3K2
Bosutinib,SRC
CICLOPIROX,ATP1A1
CVT-6883,ADORA2B
CYPROHEPTADINE,CHRM1
CYPROHEPTADINE,CHRM2
CYPROHEPTADINE,CHRM3
CYPROHEPTADINE,HRH1
CYPROHEPTADINE,HTR2A
CYPROHEPTADINE,HTR7
Cabozantinib,KDR
Cabozantinib,MET
Cabozantinib,RET
Candesartan cilexetil,AGTR1
Canertinib,EGFR
Cediranib,KDR
Cinacalcet,CASR
Ciprofibrate,PPARA
Cladribine,RRM2
Cladribine,RRM2B
Clevidipine,CACNA1C
Clevidipine,CACNA1D
Clevidipine,CACNA1S
Conivaptan,AVPR1A
Crizotinib,MET
DEXMEDETOMIDINE,ADRA2A
DIPHEMANIL METHYLSULFATE,CHRM3
Dabrafenib,BRAF
Dabrafenib,RAF1
Dabrafenib,SIK1
Dapoxetine,HTR1A
Dapoxetine,HTR1B
Dasatinib,ABL1
Dasatinib,ABL2
Dasatinib,EPHA2
Dasatinib,FGR
Dasatinib,FYN
Dasatinib,HSPA8
Dasatinib,KIT
Dasatinib,LCK
Dasatinib,LYN
Dasatinib,MAP3K20
Dasatinib,MAPK14
Dasatinib,PDGFRB
Dasatinib,SRC
Dasatinib,STAT5B
Desloratadine,HRH1
Diacerein,NR1H3
Dimethyl fumarate,RELA
Dofetilide,KCNJ12
Dronedarone,ADRA1A
Dronedarone,ADRA1B
Dronedarone,ADRA1D
Dronedarone,ADRA2A
Dronedarone,ADRA2B
Dronedarone,ADRA2C
Dronedarone,ADRB1
Dronedarone,CACNA1C
Dronedarone,CACNA1D
Dronedarone,CACNA1S
Dronedarone,CACNB1
Dronedarone,CACNB2
Dronedarone,CACNB3
Dronedarone,CACNB4
Drospirenone,PGR
ETHYNODIOL DIACETATE,ESR1
ETHYNODIOL DIACETATE,PGR
Eltrombopag,MPL
Emricasan,CASP1
Emricasan,CASP3
Emricasan,CASP7
Enzastaurin,AKT1
Enzastaurin,CHEK1
Enzastaurin,CHEK2
Enzastaurin,PIK3R1
Enzastaurin,PRKCB
Equol,ESR2
Erlotinib,EGFR
Erteberel,ESR1
Erteberel,ESR2
Etomidate,ADRA2B
FLUPHENAZINE,CALM1
FLUPHENAZINE,CALM2
FLUPHENAZINE,CALM3
FLUPHENAZINE,DRD1
FLUPHENAZINE,DRD2
FLUPHENAZINE,HTR2A
FLUTICASONE PROPIONATE,PGR
FLUTICASONE PROPIONATE,PLA2G4A
Fasudil,PRKACA
Fasudil,ROCK1
Fasudil,ROCK2
Fingolimod,HDAC1
Fingolimod,S1PR5
Flupirtine,ADRA2A
Foretinib,HGF
Foretinib,KDR
Fostamatinib,ABL1
Fostamatinib,ABL2
Fostamatinib,ACVR1
Fostamatinib,ACVR1B
Fostamatinib,ADORA3
Fostamatinib,BMPR1B
Fostamatinib,BMPR2
Fostamatinib,BRAF
Fostamatinib,CAMK1
Fostamatinib,CAMK1D
Fostamatinib,CAMK1G
Fostamatinib,CAMK2A
Fostamatinib,CAMK2B
Fostamatinib,CAMK2D
Fostamatinib,CAMK2G
Fostamatinib,CAMKK2
Fostamatinib,CDK1
Fostamatinib,CDK4
Fostamatinib,CHEK1
Fostamatinib,CHEK2
Fostamatinib,CSF1R
Fostamatinib,CSNK1A1
Fostamatinib,CSNK2A1
Fostamatinib,CSNK2A2
Fostamatinib,EGFR
Fostamatinib,EPHA2
Fostamatinib,ERBB2
Fostamatinib,ERBB4
Fostamatinib,FGFR1
Fostamatinib,FGFR2
Fostamatinib,FGFR3
Fostamatinib,FGR
Fostamatinib,FLT1
Fostamatinib,FLT3
Fostamatinib,FLT4
Fostamatinib,FYN
Fostamatinib,GSK3A
Fostamatinib,GSK3B
Fostamatinib,HCK
Fostamatinib,IKBKB
Fostamatinib,IKBKE
Fostamatinib,INSR
Fostamatinib,IRAK3
Fostamatinib,IRAK4
Fostamatinib,ITK
Fostamatinib,JAK1
Fostamatinib,JAK2
Fostamatinib,JAK3
Fostamatinib,KDR
Fostamatinib,KIT
Fostamatinib,LATS1
Fostamatinib,LCK
Fostamatinib,LYN
Fostamatinib,MAP2K2
Fostamatinib,MAP2K3
Fostamatinib,MAP2K5
Fostamatinib,MAP2K6
Fostamatinib,MAP3K1
Fostamatinib,MAP3K11
Fostamatinib,MAP3K12
Fostamatinib,MAP3K13
Fostamatinib,MAP3K2
Fostamatinib,MAP3K20
Fostamatinib,MAP3K3
Fostamatinib,MAP3K4
Fostamatinib,MAP3K6
Fostamatinib,MAP4K1
Fostamatinib,MAP4K2
Fostamatinib,MAP4K3
Fostamatinib,MAP4K4
Fostamatinib,MAPK10
Fostamatinib,MAPK13
Fostamatinib,MAPK14
Fostamatinib,MAPK15
Fostamatinib,MAPK4
Fostamatinib,MAPK7
Fostamatinib,MAPK9
Fostamatinib,MAPKAPK5
Fostamatinib,MATK
Fostamatinib,MET
Fostamatinib,MKNK1
Fostamatinib,MKNK2
Fostamatinib,MST1R
Fostamatinib,MTOR
Fostamatinib,MYLK
Fostamatinib,MYLK2
Fostamatinib,MYLK3
Fostamatinib,MYLK4
Fostamatinib,NTRK1
Fostamatinib,NTRK2
Fostamatinib,NTRK3
Fostamatinib,PAK1
Fostamatinib,PAK2
Fostamatinib,PAK4
Fostamatinib,PAK5
Fostamatinib,PAK6
Fostamatinib,PDGFRA
Fostamatinib,PDGFRB
Fostamatinib,PDPK1
Fostamatinib,PHKG1
Fostamatinib,PIK3CD
Fostamatinib,PIK3CG
Fostamatinib,PIM1
Fostamatinib,PKN1
Fostamatinib,PKN2
Fostamatinib,PLK1
Fostamatinib,PLK2
Fostamatinib,PLK3
Fostamatinib,PLK4
Fostamatinib,PRKAA1
Fostamatinib,PRKAA1
Fostamatinib,PRKAA2
Fostamatinib,PRKAB1
Fostamatinib,PRKAB2
Fostamatinib,PRKACA
Fostamatinib,PRKACB
Fostamatinib,PRKAG1
Fostamatinib,PRKAG2
Fostamatinib,PRKAG3
Fostamatinib,PRKCD
Fostamatinib,PRKCE
Fostamatinib,PRKCG
Fostamatinib,PRKCI
Fostamatinib,PRKCQ
Fostamatinib,PRKD1
Fostamatinib,PRKG2
Fostamatinib,PTK2
Fostamatinib,PTK2B
Fostamatinib,RAF1
Fostamatinib,RET
Fostamatinib,RIPK1
Fostamatinib,RIPK2
Fostamatinib,ROCK2
Fostamatinib,RPS6KA1
Fostamatinib,SGK3
Fostamatinib,SIK1
Fostamatinib,SIK2
Fostamatinib,SRC
Fostamatinib,STK3
Fostamatinib,SYK
Fostamatinib,TAOK1
Fostamatinib,TAOK2
Fostamatinib,TAOK3
Fostamatinib,TBK1
Fostamatinib,TEC
Fostamatinib,TEK
Fostamatinib,TGFBR1
Fostamatinib,TGFBR2
Fostamatinib,TYK2
Fostamatinib,ULK1
Fostamatinib,ULK2
Fostamatinib,ZAP70
Fulvestrant,ESR1
GALLAMINE TRIETHIODIDE,CHRM1
GALLAMINE TRIETHIODIDE,CHRM2
GALLAMINE TRIETHIODIDE,CHRM5
Gefitinib,EGFR
Glycyrrhizic acid,CASP3
Glycyrrhizic acid,LPL
Glycyrrhizic acid,NFKB1
Glycyrrhizic acid,NFKB2
Glycyrrhizic acid,TNF
Icotinib,EGFR
Iloperidone,ADRA1A
Iloperidone,ADRA2C
Iloperidone,DRD1
Iloperidone,DRD2
Iloperidone,HRH1
Iloperidone,HTR1A
Iloperidone,HTR2A
Iloperidone,HTR6
Iloperidone,HTR7
Imatinib,ABL1
Imatinib,CSF1R
Imatinib,KIT
Imatinib,NTRK1
Imatinib,PDGFRA
Imatinib,PDGFRB
Isotretinoin,RARA
Ivacaftor,CFTR
Ketanserin,HTR2A
LEVOSIMENDAN,KCNJ8
LEVOSIMENDAN,PDE3A
Lacidipine,CACNA1C
Lacidipine,CACNA1D
Lacidipine,CACNA1S
Lacidipine,CACNB1
Lacidipine,CACNB2
Lacidipine,CACNB3
Lacidipine,CACNB4
Lapatinib,EGFR
Lapatinib,ERBB2
Lenalidomide,PTGS2
Lenalidomide,TNFSF11
Lenvatinib,FGFR1
Lenvatinib,FGFR2
Lenvatinib,FGFR3
Lenvatinib,FGFR4
Lenvatinib,FLT1
Lenvatinib,FLT4
Lenvatinib,KDR
Lenvatinib,KIT
Lestaurtinib,FLT3
Levonorgestrel,ESR1
Levonorgestrel,PGR
Licofelone,PLA2G2E
Licofelone,PTGS2
Linsitinib,IGF1R
Lonafarnib,IGFBP3
Lumacaftor,CFTR
Lumiracoxib,PTGS2
MEGESTROL ACETATE,PGR
MK-0354,GPER1
MOXONIDINE,ADRA2A
Macitentan,EDNRA
Macitentan,EDNRB
Medroxyprogesterone acetate,ESR1
Medroxyprogesterone acetate,PGR
Melatonin,CALM1
Melatonin,CALM2
Melatonin,CALM3
Melatonin,ESR1
Mevastatin,HMGCR
Midostaurin,FLT3
Midostaurin,KDR
Midostaurin,KIT
Midostaurin,PDGFRA
Midostaurin,PDGFRB
Midostaurin,PRKCA
Mirabegron,ADRB3
Mocetinostat,HDAC1
Mocetinostat,HDAC2
Mocetinostat,HDAC3
NAPROXEN,PTGS2
NIGULDIPINE,ADRA1A
NPS-2143,CASR
Nafamostat,F2
Nafamostat,ICAM1
Navitoclax,BAD
Navitoclax,BCL2
Nebivolol,ADRB1
Nebivolol,ADRB2
Nepafenac,PTGS2
Neratinib,EGFR
Nilotinib,ABL1
Nilotinib,KIT
Nintedanib,FGFR1
Nintedanib,FGFR2
Nintedanib,FGFR3
Nintedanib,FLT1
Nintedanib,FLT3
Nintedanib,FLT4
Nintedanib,KDR
Nintedanib,LCK
Nintedanib,LYN
Nintedanib,SRC
OSI-930,FLT1
OSI-930,KIT
Olmesartan,AGTR1
Osanetant,TACR3
PERHEXILINE,CPT1A
PERHEXILINE,CPT2
PERINDOPRIL,SFRP4
PH-797804,MAPK14
PHENFORMIN,KCNJ8
PHENFORMIN,PRKAA1
PONATINIB,ABL1
PONATINIB,FGFR1
PONATINIB,FGFR2
PONATINIB,FGFR3
PONATINIB,FGFR4
PONATINIB,FLT3
PONATINIB,KDR
PONATINIB,KIT
PONATINIB,LCK
PONATINIB,LYN
PONATINIB,PDGFRA
PONATINIB,RET
PONATINIB,SRC
PONATINIB,TEK
PROCATEROL,ADRB2
Palbociclib,CDK4
Palbociclib,CDK6
Pazopanib,FGF1
Pazopanib,FGFR3
Pazopanib,FLT1
Pazopanib,FLT4
Pazopanib,ITK
Pazopanib,KDR
Pazopanib,KIT
Pazopanib,PDGFRA
Pazopanib,PDGFRB
Pazopanib,SH2B3
Pelitinib,EGFR
Piboserod,HTR4
Pioglitazone,PPARA
Pioglitazone,PPARD
Pioglitazone,PPARG
Pizotifen,ADRA1A
Pizotifen,ADRA1B
Pizotifen,ADRA1D
Pizotifen,ADRA2A
Pizotifen,ADRA2B
Pizotifen,ADRA2C
Pizotifen,CHRM1
Pizotifen,CHRM2
Pizotifen,CHRM3
Pizotifen,HRH1
Pizotifen,HTR1A
Pizotifen,HTR1B
Pizotifen,HTR1D
Pizotifen,HTR2A
Pizotifen,HTR2B
Plerixafor,CXCR4
Pomalidomide,PTGS2
Pomalidomide,TNF
Pracinostat,HDAC1
Pracinostat,HDAC2
Pracinostat,HDAC3
Pranlukast,IL5
Pranlukast,NFKB1
Pranlukast,TNF
Prucalopride,HTR4
Quizartinib,FLT3
RAF265,BRAF
RAF265,KDR
Regorafenib,ABL1
Regorafenib,BRAF
Regorafenib,EPHA2
Regorafenib,FGFR1
Regorafenib,FGFR2
Regorafenib,FLT1
Regorafenib,FLT4
Regorafenib,KDR
Regorafenib,KIT
Regorafenib,MAPK11
Regorafenib,NTRK1
Regorafenib,PDGFRA
Regorafenib,PDGFRB
Regorafenib,RAF1
Regorafenib,RET
Regorafenib,TEK
Repaglinide,PPARG
Rhein,NR1H3
Rilmenidine,ADRA2A
Rimonabant,CNR1
Roflumilast,PDE4A
Roflumilast,PDE4B
Roflumilast,PDE4C
Roflumilast,PDE4D
Romidepsin,HDAC1
Romidepsin,HDAC2
Romidepsin,HDAC4
Roxadustat,EGLN1
Roxadustat,EGLN2
Roxadustat,EGLN3
Rufinamide,GRM5
Ruxolitinib,JAK1
Ruxolitinib,JAK2
SERATRODAST,TBXA2R
SNS-032,VEGFA
Salbutamol,ADRB1
Salbutamol,ADRB2
Salbutamol,ADRB3
Semaxanib,KDR
Silodosin,ADRA1A
Silodosin,ADRA1B
Silodosin,ADRA1D
Sonidegib,SMO
Sorafenib,BRAF
Sorafenib,FGFR1
Sorafenib,FLT1
Sorafenib,FLT3
Sorafenib,FLT4
Sorafenib,KDR
Sorafenib,KIT
Sorafenib,PDGFRB
Sorafenib,RAF1
Sorafenib,RET
Sumanirole,DRD2
Sunitinib,CSF1R
Sunitinib,FLT1
Sunitinib,FLT3
Sunitinib,FLT4
Sunitinib,KDR
Sunitinib,KIT
Sunitinib,PDGFRA
Sunitinib,PDGFRB
Synephrine,ADRA1A
Synephrine,ADRA1B
Synephrine,ADRA1D
TETRABENAZINE,DRD2
TG100-115,PIK3CD
TG100-115,PIK3CG
Talmapimod,IL1B
Talmapimod,MAPK14
Talmapimod,TNF
Tamibarotene,RARA
Tandutinib,FLT3
Tandutinib,PDGFD
Tanespimycin,HSP90AA1
Tanespimycin,HSP90AB1
Telmisartan,AGTR1
Telmisartan,PPARG
Temsirolimus,MTOR
Tesmilifene,HRH1
Tideglusib,GSK3B
Tiratricol,THRB
Tivantinib,MET
Tofacitinib,JAK1
Tofacitinib,JAK2
Tofacitinib,JAK3
Tofacitinib,TYK2
Tolvaptan,AVPR1A
Trametinib,MAP2K1
Trametinib,MAP2K2
Trilostane,ESR1
Trilostane,ESR2
Ulipristal,PGR
VARLITINIB,EGFR
VARLITINIB,ERBB2
VERAPAMIL,ADRA1A
VERAPAMIL,ADRA1B
VERAPAMIL,ADRA1D
VERAPAMIL,CACNA1C
VERAPAMIL,CACNA1D
VERAPAMIL,CACNA1S
VERAPAMIL,CACNB1
VERAPAMIL,CACNB2
VERAPAMIL,CACNB3
VERAPAMIL,CACNB4
VX-702,IL1B
VX-702,IL6
VX-702,MAPK14
VX-702,TNF
Valdecoxib,PTGS2
Vandetanib,EGFR
Vandetanib,RET
Vandetanib,TEK
Vandetanib,VEGFA
Vatalanib,FLT1
Vatalanib,FLT4
Vatalanib,KDR
Vemurafenib,BRAF
Venetoclax,BCL2
Vismodegib,SMO
Vorinostat,HDAC1
Vorinostat,HDAC2
Vorinostat,HDAC3
XL765,MTOR
XL765,PIK3CA
XL765,PIK3CB
XL765,PIK3CD
XL765,PIK3CG
Ziprasidone,ADRA1A
Ziprasidone,ADRA1B
Ziprasidone,ADRA2A
Ziprasidone,ADRA2B
Ziprasidone,ADRA2C
Ziprasidone,CHRM1
Ziprasidone,CHRM2
Ziprasidone,CHRM3
Ziprasidone,CHRM5
Ziprasidone,DRD1
Ziprasidone,DRD2
Ziprasidone,DRD5
Ziprasidone,HRH1
Ziprasidone,HTR1A
Ziprasidone,HTR1B
Ziprasidone,HTR1D
Ziprasidone,HTR1E
Ziprasidone,HTR2A
Ziprasidone,HTR6
Ziprasidone,HTR7
acemetacin,PTGS2
acetaminophen,PTGS2
adenosine,ADORA1
adenosine,ADORA2A
adenosine,ADORA2B
adenosine,ADORA3
alfacalcidol,RXRA
alfuzosin,ADRA1A
alfuzosin,ADRA1B
alfuzosin,ADRA1D
alprostadil,PTGER1
alprostadil,PTGER2
amantadine,DRD2
amantadine,GRIN3A
aminophylline,ADORA1
aminophylline,ADORA3
aminophylline,HDAC2
aminophylline,PDE3A
amisulpride,DRD2
amisulpride,HTR2A
amisulpride,HTR7
amlexanox,FGF1
amlexanox,IL3
amlodipine,CACNA1C
amlodipine,CACNA1D
amlodipine,CACNA1S
amlodipine,CACNA2D1
amlodipine,CACNA2D3
amlodipine,CACNB2
amoxapine,ADRA1A
amoxapine,ADRA1A
amoxapine,ADRA1B
amoxapine,ADRA1D
amoxapine,ADRA2A
amoxapine,ADRA2A
amoxapine,ADRA2B
amoxapine,ADRA2C
amoxapine,CHRM1
amoxapine,CHRM1
amoxapine,CHRM2
amoxapine,CHRM3
amoxapine,CHRM5
amoxapine,DRD1
amoxapine,DRD2
amoxapine,HRH1
amoxapine,HTR1A
amoxapine,HTR1B
amoxapine,HTR2A
amoxapine,HTR2B
amoxapine,HTR6
amoxapine,HTR7
anagrelide,PDE3A
aniracetam,DRD2
aniracetam,GRIA2
aniracetam,HTR2A
antipyrine,PTGS2
arecoline,CHRM1
arecoline,CHRM3
argatroban,F2
azathioprine,RAC1
azelastine,HRH1
bepridil,ATP1A1
bepridil,CACNA2D2
bepridil,CALM1
bepridil,CALM2
bepridil,CALM3
bepridil,PDE1A
bepridil,PDE1B
berberine,BIRC5
betaxolol,ADRB1
betaxolol,ADRB2
bethanechol,CHRM1
bethanechol,CHRM2
bethanechol,CHRM3
bezafibrate,PPARA
bezafibrate,PPARD
bezafibrate,PPARG
bezafibrate,RXRA
bezafibrate,RXRB
bezafibrate,RXRG
biperiden,CHRM1
brefeldin A,ARF1
brefeldin A,CYTH2
bufexamac,PTGS2
bumetanide,CFTR
candesartan,AGTR1
captopril,BDKRB1
captopril,MMP2
captopril,MMP9
carprofen,PTGS2
carvedilol,ADRA1A
carvedilol,ADRA1B
carvedilol,ADRA1D
carvedilol,ADRA2A
carvedilol,ADRA2B
carvedilol,ADRA2C
carvedilol,ADRB1
carvedilol,ADRB2
carvedilol,HIF1A
carvedilol,KCNJ4
carvedilol,NPPB
carvedilol,SELE
carvedilol,VCAM1
carvedilol,VEGFA
celecoxib,PDPK1
celecoxib,PTGS2
cetirizine,HRH1
chloroquine,TLR9
chloroquine,TNF
chlorprothixene,CHRM1
chlorprothixene,CHRM2
chlorprothixene,CHRM3
chlorprothixene,CHRM5
chlorprothixene,DRD1
chlorprothixene,DRD2
chlorprothixene,HRH1
chlorprothixene,HTR2A
chlorprothixene,HTR2B
chlorzoxazone,KCNMA1
cilnidipine,CACNA1C
cilnidipine,CACNA1D
cilnidipine,CACNA1S
cilnidipine,CACNB1
cilnidipine,CACNB2
cilnidipine,CACNB3
cilnidipine,CACNB4
cilostazol,PDE3A
cimetidine,HRH2
citalopram,ADRA1A
citalopram,CHRM1
citalopram,HRH1
clofibrate,PPARA
clomipramine,HTR2A
clomipramine,HTR2B
clonidine,ADRA1A
clonidine,ADRA1B
clonidine,ADRA1D
clonidine,ADRA2A
clonidine,ADRA2B
clonidine,ADRA2C
clozapine,ADRA1A
clozapine,ADRA1B
clozapine,ADRA2A
clozapine,ADRA2B
clozapine,ADRA2C
clozapine,CHRM1
clozapine,CHRM2
clozapine,CHRM3
clozapine,CHRM5
clozapine,DRD1
clozapine,DRD2
clozapine,HRH1
clozapine,HTR1A
clozapine,HTR1B
clozapine,HTR1D
clozapine,HTR1E
clozapine,HTR2A
clozapine,HTR6
clozapine,HTR7
curcumin,PPARG
cyclobenzaprine,HTR2A
dexamethasone,NOS2
diethylstilbestrol,ESR1
diethylstilbestrol,ESR2
diethylstilbestrol,ESRRB
diethylstilbestrol,NCOA2
diphenhydramine,CHRM2
diphenhydramine,HRH1
dobutamine,ADRA1A
dobutamine,ADRA1B
dobutamine,ADRA1D
dobutamine,ADRB1
dobutamine,ADRB2
dobutamine,ESR1
domperidone,DRD2
dopamine,DRD1
dopamine,DRD1
dopamine,DRD2
dopamine,DRD5
dopamine,DRD5
dopamine,HTR1A
dopamine,HTR7
doxazosin,ADRA1A
doxazosin,ADRA1B
doxazosin,ADRA1D
droperidol,ADRA1A
droperidol,DRD2
dydrogesterone,PGR
dyphylline,ADORA1
dyphylline,ADORA2A
dyphylline,PDE4A
dyphylline,PDE4B
dyphylline,PDE4C
dyphylline,PDE4D
emodin,CSNK2A1
epinephrine,ADRA1A
epinephrine,ADRA1B
epinephrine,ADRA1D
epinephrine,ADRA2A
epinephrine,ADRA2B
epinephrine,ADRA2C
epinephrine,ADRB1
epinephrine,ADRB2
epinephrine,ADRB3
epinephrine,TNF
estradiol,BECN1
estradiol,ESR1
estradiol,ESR2
estradiol,GPER1
estradiol,NCOA2
estradiol valerate,BECN1
estradiol valerate,ESR1
estradiol valerate,ESR2
estradiol valerate,GPER1
estradiol valerate,NCOA2
estriol,ESR1
estriol,ESR2
estrone,ESR1
estrone,ESR2
ethinyl estradiol,ESR1
etodolac,PTGS2
etodolac,RXRA
famotidine,HRH2
felbamate,GRIN2A
felbamate,GRIN2B
felbamate,GRIN3A
felodipine,CACNA1C
felodipine,CACNA1D
felodipine,CACNA1S
felodipine,CACNA2D1
felodipine,CACNA2D2
felodipine,CACNB2
felodipine,CALM1
felodipine,CALM2
felodipine,CALM3
felodipine,PDE1A
felodipine,PDE1B
fenofibrate,PPARA
fenofibrate,PPARD
fenofibrate,PPARG
fenoldopam,ADRA1A
fenoldopam,ADRA1B
fenoldopam,ADRA1D
fenoldopam,ADRA2A
fenoldopam,ADRA2B
fenoldopam,ADRA2C
fenoldopam,DRD1
fenoldopam,DRD5
flufenamic acid,PPARA
flufenamic acid,PPARG
flufenamic acid,PTGS2
flunarizine,CALM1
flunarizine,CALM2
flunarizine,CALM3
flunarizine,HRH1
fluocinonide,SMO
flurbiprofen,PTGS2
gabapentin,ADORA1
gabapentin,CACNA2D1
gabapentin,CACNA2D2
gabapentin,GABBR1
gabapentin,GABBR2
gabapentin,GRIN1
gabapentin,GRIN2A
gabapentin,GRIN2B
gabapentin,GRIN2C
gabapentin,GRIN2D
gabapentin,GRIN3A
gabapentin,GRIN3B
gabexate,F2
geldanamycin,HSP90AA1
geldanamycin,HSP90AB1
geldanamycin,HSP90B1
gemfibrozil,PPARA
genistein,AKT1
genistein,ESR1
genistein,ESR2
genistein,ESRRB
genistein,GPER1
genistein,NCOA1
genistein,NCOA2
genistein,PTK2B
glipizide,PPARG
glyburide,CFTR
glyburide,CPT1A
glyburide,KCNJ5
glyburide,KCNJ8
gossypol,BCL2L1
griseofulvin,KRT12
halcinonide,SMO
haloperidol,DRD1
haloperidol,DRD2
haloperidol,GRIN2B
haloperidol,HTR2A
hexestrol,ESR1
histamine,HRH1
histamine,HRH2
hydrochlorothiazide,KCNMA1
hydroxychloroquine,TLR9
hyoscyamine,CHRM1
hyoscyamine,CHRM2
hyoscyamine,CHRM3
ibuprofen,BCL2
ibuprofen,CFTR
ibuprofen,PLAT
ibuprofen,PPARA
ibuprofen,PPARG
ibuprofen,PTGS2
ibuprofen,THBD
indomethacin,PLA2G2A
indomethacin,PPARA
indomethacin,PPARG
indomethacin,PTGS2
irbesartan,AGTR1
irbesartan,JUN
isosorbide,BCL2
isosorbide,BCL2L1
isosorbide,MCL1
isradipine,CACNA1C
isradipine,CACNA1D
isradipine,CACNA1S
isradipine,CACNA2D1
isradipine,CACNA2D2
isradipine,CACNB2
ketoprofen,CXCR1
ketoprofen,PTGS2
ketorolac,PTGS2
ketotifen,HRH1
lamotrigine,ADORA1
lamotrigine,ADORA2A
lamotrigine,ADRA1A
lamotrigine,ADRA2A
lamotrigine,ADRB1
lamotrigine,CHRM1
lamotrigine,CHRM2
lamotrigine,CHRM3
lamotrigine,CHRM5
lamotrigine,DRD1
lamotrigine,DRD2
lamotrigine,DRD5
lamotrigine,HRH1
lamotrigine,HTR2A
lansoprazole,MAPT
leflunomide,PTK2B
lidocaine,EGFR
lonidamine,CFTR
lonidamine,HK1
loperamide,CALM1
loperamide,CALM2
loperamide,CALM3
loperamide,OPRD1
loperamide,OPRM1
loperamide,POMC
loratadine,HRH1
lovastatin,HDAC2
lovastatin,HMGCR
lovastatin,ITGAL
maprotiline,ADRA1A
maprotiline,ADRA1B
maprotiline,ADRA1D
maprotiline,ADRA2A
maprotiline,ADRA2B
maprotiline,ADRA2C
maprotiline,CHRM1
maprotiline,CHRM2
maprotiline,CHRM3
maprotiline,CHRM5
maprotiline,DRD2
maprotiline,HRH1
maprotiline,HTR2A
maprotiline,HTR7
mefenamic acid,PTGS2
meloxicam,PTGS2
memantine,DRD2
memantine,GRIN1
memantine,GRIN2A
memantine,GRIN2B
memantine,GRIN3A
menadione,F2
mestranol,ESR1
metformin,PRKAB1
methyldopa,ADRA2A
methyltestosterone,ESR1
miconazole,KCNMA1
miconazole,KCNMB1
miconazole,KCNMB2
miconazole,KCNMB3
miconazole,KCNMB4
miconazole,NOS2
miconazole,NOS3
mifepristone,PGR
milrinone,PDE3A
mirtazapine,ADRA1A
mirtazapine,ADRA1A
mirtazapine,ADRA1B
mirtazapine,ADRA1D
mirtazapine,ADRA2A
mirtazapine,ADRA2C
mirtazapine,ADRB1
mirtazapine,ADRB2
mirtazapine,DRD1
mirtazapine,DRD2
mirtazapine,DRD5
mirtazapine,HRH1
mirtazapine,HTR2A
mirtazapine,HTR2B
mirtazapine,HTR7
mitotane,ESR1
mitotane,PGR
nabumetone,PTGS2
naltrexone,OPRD1
naltrexone,OPRM1
naratriptan,HTR1A
naratriptan,HTR1B
naratriptan,HTR1D
naratriptan,HTR1F
naringenin,ESR1
naringenin,ESR2
nateglinide,PPARG
nifedipine,CACNA1C
nifedipine,CACNA1D
nifedipine,CACNA1S
nifedipine,CACNA2D1
nifedipine,CACNB2
nifedipine,CALM1
nifedipine,CALM2
nifedipine,CALM3
niflumic acid,PLA2G1B
niflumic acid,PLA2G4A
niflumic acid,PTGS2
nilvadipine,CACNA1C
nilvadipine,CACNA1D
nilvadipine,CACNA1S
